p_Name,shop_name,ProductID,price,PreferentialPrice,CommentCount,GoodRateShow,GoodCount,GeneralCount,PoorCount,keyword,type,brand,X_type,X_name,capacity,source
奥克斯（AUX）正1.5匹 一级能效 变频冷暖 智能 60秒速热 明月侠空调挂机 微信智控（KFR-35GW/BpPYA1+1）,奥克斯空调自营旗舰店,5154672,3699.00,3299.00,200,99,200,0,2,外观大气,奥克斯（AUX） 奥克斯KFR-35GW/BpPYA1+1 5154672 13.5kg 中国大陆 变频 0元安装，高能效空调，智能空调，变频空调，静音空调，自动清洁 冷暖空调 1.5匹 一级能效 15-20㎡ 壁挂式空调,奥克斯,变频,奥克斯KFR-35GW/BpPYA1+1,1.5匹,京东
海尔（Haier）1.5匹 变频 冷暖 二级能效 自清洁 空调挂机 KFR-35GW/19UBA22AU1,海尔官方旗舰店,2563007,4599.00,3299.00,3900,96,3800,80,90,外观大气 特别快 信得过 态度好 品质有保障,海尔（Haier） 海尔KFR-35GW/19UBA22AU1套机 2563007 10.5kg 中国大陆 变频 冷暖空调 高能效空调，智能空调，变频空调，自动清洁 白色有花纹 1.5匹 二级能效 15-20㎡，20-30㎡ 壁挂式空调,海尔,变频,海尔KFR-35GW/19UBA22AU1套机,1.5匹,京东
海信（Hisense）1.5匹 真金英雄 智能冷暖 二级能效 直流变频 空调挂机（KFR-35GW/EF18A2(1P45)）,海信空调自营旗舰店,2642102,3799.00,2799.00,12000,97,12000,100,200,态度好 信得过 品质有保障 特别快,海信（Hisense） 海信KFR-35GW/EF18A2（1P45） 2642102 10.5kg 中国大陆 变频 冷暖空调 高能效空调，智能空调，变频空调，静音空调 金色 1.5匹 二级能效 15-20㎡ 壁挂式空调,海信,变频,海信KFR-35GW/EF18A2（1P45）,1.5匹,京东
TCL 正1.5匹 二级能效  变频 冷暖 黄金甲系列空调挂机（KFRd-35GW/EW12BpA）,TCL空调自营旗舰店,3690200,2899.00,2499.00,3000,97,2900,30,40,特别快 外观大气 态度好 品质有保障 信得过,TCL TCLKFRd-35GW/EW12BpA 3690200 12.0kg 中国大陆 变频 冷暖空调 高能效空调，变频空调，静音空调，全直流变频，自动清洁 金色 1.5匹 二级能效 15-20㎡ 壁挂式空调,TCL,变频,TCLKFRd-35GW/EW12BpA,1.5匹,京东
TCL 大1匹 一级能效 变频 智能 冷暖 黄金叶系列 空调挂机（KFRd-26GW/HE11BpA）,TCL空调自营旗舰店,3475687,3299.00,2499.00,3900,97,3800,40,70,外观大气 态度好 品质有保障 信得过 节能环保 特别快,TCL TCLKFRd-26GW/HE11BpA 3475687 12.0kg 中国大陆 变频 冷暖空调 高能效空调，智能空调，变频空调，静音空调，自动清洁 白色有花纹 1匹 一级能效 10-15㎡ 壁挂式空调,TCL,变频,TCLKFRd-26GW/HE11BpA,1匹,京东
格力（GREE）正1.5匹 一级能效变频冷暖润享wifi（白色）壁挂式空调 KFR-35GW/(35594)FNhAa-A1,格力官方旗舰店,4071378,5799.00,4799.00,2100,98,2000,20,30,外观大气 特别快 态度好 信得过,格力（GREE） 格力KFR-35GW/35594FNhAa-A1 4071378 44.5kg 中国大陆 变频 冷暖空调 高能效空调，智能空调，变频空调，静音空调，全直流变频 白色 1.5匹 一级能效 15-20㎡ 壁挂式空调,格力,变频,格力KFR-35GW/35594FNhAa-A1,1.5匹,京东
海信（Hisense）1.5匹 男神小智 一级能效 智能冷暖 直流变频 空调挂机（KFR-33GW/EF20A1(1P57)）,海信空调自营旗舰店,5129535,4099.00,2988.00,700,100,700,1,1,外观大气 特别快 态度好,海信（Hisense） 海信KFR-33GW/EF20A1(1P57) 5129535 14.0kg 中国大陆 变频 冷暖空调 高能效空调，智能空调，变频空调，静音空调 白色 1匹 一级能效 15-20㎡ 壁挂式空调,海信,变频,海信KFR-33GW/EF20A1(1P57),1匹,京东
长虹（CHANGHONG）正1.5匹 壁挂式 冷暖变频空调 白色 KFR-35GW/ZDHID(W1-J)+A3,长虹官方自营旗舰店,1338413,2799.00,2349.00,11000,98,11000,90,100,特别快 态度好 外观大气 品质有保障 信得过 完好无损 卖家服务态度好,长虹（CHANGHONG） 长虹KFR-35GW/ZDHID(W1-J)+A3 1338413 11.5kg 中国大陆 变频 冷暖空调 变频空调，静音空调 白色 1.5匹 三级能效 15-20㎡ 壁挂式空调,长虹,变频,长虹KFR-35GW/ZDHID(W1-J)+A3,1.5匹,京东
松下 大1.5匹 全直流变频 2级能效 双离子净化 怡涵壁挂式冷暖空调 CS-UE13KK1(珍珠白) （panasonic）,松下空调京东自营旗舰店,2832658,5249.00,4998.00,100,96,100,3,2,特别快 操作简单 态度好,松下（Panasonic） 松下UE13KK1 2832658 9.5kg 中国大陆 变频 冷暖空调 高能效空调，智能空调，变频空调，静音空调，合资空调，全直流变频，自动清洁 白色 1.5匹 二级能效 15-20㎡ 壁挂式空调,松下,变频,松下UE13KK1,1.5匹,京东
美的（Midea） 美的2匹定速冷暖空调挂机 KFR-50GW/DY-DA400(D3) 大2匹,美的空调河北盛丰专卖店,19267509885,4999.00,4099.00,0,100,0,0,0,,美的（Midea） 美的（Midea） 美的2匹定速冷暖空调挂机 KFR-50GW/DY-DA400(D3) 大2匹 19267509885 美的空调河北盛丰专卖店 53.0kg 中国大陆 定频 冷暖空调 静音空调，自动清洁 白色 2匹 三级能效 20-30㎡ 壁挂式空调,美的,定频,美的（Midea） 美的2匹定速冷暖空调挂机 KFR-50GW/DY-DA400(D3) 大2匹,2匹,京东
美的（Midea） 大1匹/1.5匹变频冷暖ECO节能智能高频空调挂机制冷王 白色 大1.5匹35GW/BP2DN1Y-YA301,美的空调苏北金木专卖店,11359804013,4199.00,3398.00,0,100,0,0,0,,美的（Midea） 美的（Midea） 大1匹/1.5匹变频冷暖ECO节能智能高频空调挂机制冷王 白色 大1.5匹35GW/BP2DN1Y-YA301 11359804013 美的空调苏北金木专卖店 30.0kg 变频 冷暖空调 静音空调 白色 1.5匹 三级能效 15-20㎡ 壁挂式空调,美的,变频,美的（Midea） 大1匹/1.5匹变频冷暖ECO节能智能高频空调挂机制冷王 白色 大1.5匹35GW/BP2DN1Y-YA301,1.5匹,京东
美的（Midea） KFR-35GW/BP2DN1Y-PC400(B3)1.5匹变频空调,美的空调邦鸿专卖店,11574718546,4099.00,2899.00,400,100,400,2,0,外观大气 信得过 态度好,美的（Midea） 美的（Midea） KFR-35GW/BP2DN1Y-PC400(B3)1.5匹变频空调 11574718546 美的空调邦鸿专卖店 34.0kg 中国大陆 KFR-35GW/BP2DN1Y-PC400(B3) 变频 冷暖空调 变频空调 白色 1.5匹 三级能效 15-20㎡ 壁挂式空调,美的,变频,美的（Midea） KFR-35GW/BP2DN1Y-PC400(B3)1.5匹变频空调,1.5匹,京东
美的（Midea） 冷静星二代冷暖壁挂定频空调 1匹KFR-23GW/DY-PC400,美的北京世纪广美专卖店,17124521454,2788.00,2199.00,1,100,1,0,0,,美的（Midea） 美的（Midea） 冷静星二代冷暖壁挂定频空调 1匹KFR-23GW/DY-PC400 17124521454 美的北京世纪广美专卖店 13.0kg 定频 冷暖空调 高能效空调 白色 1.5匹 三级能效 15-20㎡ 壁挂式空调,美的,定频,美的（Midea） 冷静星二代冷暖壁挂定频空调 1匹KFR-23GW/DY-PC400,1.5匹,京东
美的 （Midea）变频 壁挂式空调 挂机 KFR-26GW/BP2DN1Y-DA400(B3,美的空调北京邓氏专卖店,13860409878,6499.00,2499.00,0,100,0,0,0,,美的 美的 （Midea）变频 壁挂式空调 挂机 KFR-26GW/BP2DN1Y-DA400(B3 13860409878 美的空调北京邓氏专卖店 12.0kg 变频 冷暖空调 0元安装 白色 1匹 三级能效 20-30㎡ 壁挂式空调,美的,变频,美的 （Midea）变频 壁挂式空调 挂机 KFR-26GW/BP2DN1Y-DA400(B3,1匹,京东
奥克斯（AUX） AUX/奥克斯KFR-35GW/LI700+2高能效冷暖壁挂式挂机空调,奥克斯空调上海阁力专卖店,12901377159,2699.00,2199.00,5,100,5,0,0,特别快,奥克斯（AUX） 奥克斯（AUX） AUX/奥克斯KFR-35GW/LI700+2高能效冷暖壁挂式挂机空调 12901377159 奥克斯空调上海阁力专卖店 50.0kg 定频 冷暖空调 静音空调，自动清洁 白色 1.5匹 二级能效 15-20㎡ 壁挂式空调,奥克斯,定频,奥克斯（AUX） AUX/奥克斯KFR-35GW/LI700+2高能效冷暖壁挂式挂机空调,1.5匹,京东
奥克斯（AUX） 空调1匹挂机 变频 一级能效KFR-26GW/BPUF700(A1),奥克斯空调川渝联奥专卖店,15685505205,3249.00,2799.00,10,100,10,0,0,,奥克斯（AUX） 奥克斯（AUX） 空调1匹挂机 变频 一级能效KFR-26GW/BPUF700(A1) 15685505205 奥克斯空调川渝联奥专卖店 11.0kg 变频 冷暖空调 白色 1匹 一级能效 10-15㎡ 壁挂式空调,奥克斯,变频,奥克斯（AUX） 空调1匹挂机 变频 一级能效KFR-26GW/BPUF700(A1),1匹,京东
奥克斯（AUX） 奥克斯 大1匹变频冷暖挂式节能空调KFR-26GW/BpNFM17+3,奥克斯空调上海阁力专卖店,18656111950,2299.00,2099.00,1,100,1,0,0,,奥克斯（AUX） 奥克斯（AUX） 奥克斯 大1匹变频冷暖挂式节能空调KFR-26GW/BpNFM17+3 18656111950 奥克斯空调上海阁力专卖店 31.0kg 变频 变频空调 冷暖空调 1匹 三级能效 10㎡以下 壁挂式空调,奥克斯,变频,奥克斯（AUX） 奥克斯 大1匹变频冷暖挂式节能空调KFR-26GW/BpNFM17+3,1匹,京东
美的（Midea） 省电星 大2匹/大3匹定速壁挂式节能静音 冷暖空调挂机 大3匹 KFR-72GW/DY-DA400(D3),美的空调博美专卖店,16592677253,6799.00,6299.00,50,100,50,0,0,外观大气,美的（Midea） 美的（Midea） 省电星 大2匹/大3匹定速壁挂式节能静音 冷暖空调挂机 大3匹 KFR-72GW/DY-DA400(D3) 16592677253 美的空调博美专卖店 20.0kg 定频 冷暖空调 白色 3匹 三级能效 30-40㎡ 壁挂式空调,美的,定频,美的（Midea） 省电星 大2匹/大3匹定速壁挂式节能静音 冷暖空调挂机 大3匹 KFR-72GW/DY-DA400(D3),3匹,京东
海尔（Haier） 大1匹/1.5匹 空调挂机 冷暖变频 带WIFI智能物联网  壁挂式 KFR-26GW/15DCA21AU1,海尔蓝宝空调专卖店,14814509296,5799.00,3999.00,0,100,0,0,0,,海尔（Haier） 海尔（Haier）KFR-35GW/15DCA21AU1套机 14814509296 海尔蓝宝空调专卖店 42.5kg 中国大陆 变频 冷暖空调 自动清洁 白色 1.5匹 一级能效 10-15㎡ 壁挂式空调,海尔,变频,海尔（Haier）KFR-35GW/15DCA21AU1套机,1.5匹,京东
海尔（Haier）KFR-26GW/13BAA21AU1 大1P空调挂机变频自清洁壁挂式,海尔重庆沃克专卖店,17459439271,4399.00,4399.00,0,100,0,0,0,,海尔（Haier） 海尔（Haier）KFR-26GW/13BAA21AU1 大1P空调挂机变频自清洁壁挂式 17459439271 海尔重庆沃克专卖店 53.0kg 中国大陆 变频 冷暖空调 智能空调，变频空调，静音空调，自动清洁 金色 1匹 一级能效 15-20㎡ 壁挂式空调,海尔,变频,海尔（Haier）KFR-26GW/13BAA21AU1 大1P空调挂机变频自清洁壁挂式,1匹,京东
海尔（Haier） KFR-26GW/13BAA21AU1 大1匹变频壁挂式冷暖空调挂机,海尔蜀葵专卖店,11096836431,4999.00,4099.00,9,100,9,0,0,节能环保 性价比高,海尔（Haier） 海尔（Haier） KFR-26GW/13BAA21AU1 大1匹变频壁挂式冷暖空调挂机 11096836431 海尔蜀葵专卖店 49.0kg 中国大陆 KFR-26GW/13BAA21AU1 变频 冷暖空调 自动清洁 金色 1匹 一级能效 10-15㎡ 壁挂式空调,海尔,变频,海尔（Haier） KFR-26GW/13BAA21AU1 大1匹变频壁挂式冷暖空调挂机,1匹,京东
美的 （Midea）京东英雄 壁挂式空调 挂机 大1匹 KFR-26GW/WPAD3,美的空调北京邓氏专卖店,14392117728,2999.00,2099.00,100,100,100,0,0,外观大气,美的 美的 （Midea）京东英雄 壁挂式空调 挂机 大1匹 KFR-26GW/WPAD3 14392117728 美的空调北京邓氏专卖店 10.5kg 定频 冷暖空调 0元安装 白色 1.5匹 三级能效 20-30㎡ 壁挂式空调,美的,定频,美的 （Midea）京东英雄 壁挂式空调 挂机 大1匹 KFR-26GW/WPAD3,1.5匹,京东
美的 （Midea）大1匹/1.5匹 变频 舒适星 冷暖 无风感 ECO节能  挂机 35GW/BP3DN1Y-TA100(B1,美的空调海南专卖店,11404516806,7199.00,6299.00,0,100,0,0,0,,美的 美的 （Midea）大1匹/1.5匹 变频 舒适星 冷暖 无风感 ECO节能  挂机 35GW/BP3DN1Y-TA100(B1 11404516806 美的空调海南专卖店 37.0kg 变频 冷暖空调 变频空调 金色 1匹 一级能效 15-20㎡ 壁挂式空调,美的,变频,美的 （Midea）大1匹/1.5匹 变频 舒适星 冷暖 无风感 ECO节能  挂机 35GW/BP3DN1Y-TA100(B1,1匹,京东
美的（Midea） 大1.5匹变频KFR-35GW/BP2DN1Y-YA301(B3),顺隆电器专营店,14714277535,3899.00,3299.00,0,100,0,0,0,,美的（Midea） 美的（Midea） 大1.5匹变频KFR-35GW/BP2DN1Y-YA301(B3) 14714277535 顺隆电器专营店 14.0kg 中国大陆 KFR-35GW/BP-YA301(B3) 变频 冷暖空调 白色 1.5匹 三级能效 20-30㎡ 壁挂式空调,美的,变频,美的（Midea） 大1.5匹变频KFR-35GW/BP2DN1Y-YA301(B3),1.5匹,京东
奥克斯（AUX） 冷暖 定速 空调 自动水洗 挂机 纯铜管 1.5匹 KFR-35GW/NFB+3,奥克斯空调华北正瑞专卖店,19411308993,2500.00,1999.00,2,100,2,0,0,,奥克斯（AUX） 奥克斯（AUX） 冷暖 定速 空调 自动水洗 挂机 纯铜管 1.5匹 KFR-35GW/NFB+3 19411308993 奥克斯空调华北正瑞专卖店 50.0kg 定频 冷暖空调 自动清洁 白色 1.5匹 三级能效 10㎡以下，10-15㎡ 壁挂式空调,奥克斯,定频,奥克斯（AUX） 冷暖 定速 空调 自动水洗 挂机 纯铜管 1.5匹 KFR-35GW/NFB+3,1.5匹,京东
奥克斯（AUX） 6匹吸顶式天花机 冷暖 中央空调 QRD-140N/EB2S,奥克斯空调上海阁力专卖店,15571008360,8199.00,7499.00,0,100,0,0,0,,奥克斯（AUX） 奥克斯（AUX） 6匹吸顶式天花机 冷暖 中央空调 QRD-140N/EB2S 15571008360 奥克斯空调上海阁力专卖店 143.0kg 定频 冷暖空调 静音空调 白色 5匹及以上 三级能效 40㎡以上 壁挂式空调,奥克斯,定频,奥克斯（AUX） 6匹吸顶式天花机 冷暖 中央空调 QRD-140N/EB2S,5匹及以上,京东
奥克斯（AUX） 5匹吸顶式天花机 冷暖  家用中央空调 QRD-120N/EB2S,奥克斯空调上海阁力专卖店,13039733183,8299.00,7299.00,4,100,4,0,0,,奥克斯（AUX） 奥克斯（AUX） 5匹吸顶式天花机 冷暖  家用中央空调 QRD-120N/EB2S 13039733183 奥克斯空调上海阁力专卖店 143.0kg 定频 冷暖空调 白色 3匹 三级能效 40㎡以上 壁挂式空调,奥克斯,定频,奥克斯（AUX） 5匹吸顶式天花机 冷暖  家用中央空调 QRD-120N/EB2S,3匹,京东
TCL KFRd-26GW/EN12BpA 北斗摇光 大1匹 智能变频 冷暖挂式空调,TCL空调幸福树专卖店,11422529922,3599.00,2399.00,1,100,1,0,0,,TCL TCL KFRd-26GW/EN12BpA 北斗摇光 大1匹 智能变频 冷暖挂式空调 11422529922 TCL空调幸福树专卖店 38.0kg 中国大陆 变频 冷暖空调 智能空调，变频空调，静音空调 金色 1匹 二级能效 10-15㎡ 壁挂式空调,TCL,变频,TCL KFRd-26GW/EN12BpA 北斗摇光 大1匹 智能变频 冷暖挂式空调,1匹,京东
TCL 1匹 定频 纯铜管 静音空调 冷暖 挂机空调  KFRd-25GW/EL13,TCL空调酷友专卖店,1696754470,2299.00,1649.00,700,92,600,20,30,特别快 品质有保障 外观大气 态度好 信得过,TCL TCLKFRd-25GW/EL13 1696754470 TCL空调酷友专卖店 38.5kg 定频 冷暖空调 静音空调 白色 1匹 三级能效 10-15㎡ 壁挂式空调,TCL,定频,TCLKFRd-25GW/EL13,1匹,京东
海尔（haier） KF-36GW/13BEA13 大1.5匹单冷高效定频壁挂式空调套机 白色,海尔蓝海远航专卖店,18711440464,2999.00,2499.00,7,100,7,0,0,,海尔（haier） 海尔（haier） KF-36GW/13BEA13 大1.5匹单冷高效定频壁挂式空调套机 白色 18711440464 海尔蓝海远航专卖店 45.0kg 中国大陆 定频 单冷空调 静音空调 白色 1.5匹 三级能效 15-20㎡ 壁挂式空调,海尔,定频,海尔（haier） KF-36GW/13BEA13 大1.5匹单冷高效定频壁挂式空调套机 白色,1.5匹,京东
海尔（Haier） 1P/1.5匹壁挂式空调  冷暖 智能APP 家用静音空调统帅系列 KFR-35GW/12LBA13TU1,海尔蓝宝空调专卖店,17029472672,3299.00,2549.00,7,100,7,0,0,,海尔（Haier） 海尔（Haier） 1P/1.5匹壁挂式空调  冷暖 智能APP 家用静音空调统帅系列 KFR-35GW/12LBA13TU1 17029472672 海尔蓝宝空调专卖店 12.0kg 定频 冷暖空调 1.5匹 三级能效 10-15㎡，15-20㎡ 壁挂式空调,海尔,定频,海尔（Haier） 1P/1.5匹壁挂式空调  冷暖 智能APP 家用静音空调统帅系列 KFR-35GW/12LBA13TU1,1.5匹,京东
志高（CHIGO） KFR-35GW/J169+N3  1.5匹 定速壁挂式冷暖空调 静音,志高远博专卖店,11150750625,2999.00,2399.00,20,96,20,1,0,外观大气 特别快 态度好,志高（CHIGO） 志高（CHIGO） KFR-35GW/J169+N3  1.5匹 定速壁挂式冷暖空调 静音 11150750625 志高远博专卖店 11.0kg 中国大陆  KFR-35GW/J169+N3 定频 冷暖空调 静音空调 白色 1.5匹 三级能效 15-20㎡ 壁挂式空调,志高,定频,志高（CHIGO） KFR-35GW/J169+N3  1.5匹 定速壁挂式冷暖空调 静音,1.5匹,京东
海信（Hisense） 1.5匹 壁挂式变频空调KFR-35GW/EF19A3(1N10),海信空调旗舰店,10710873685,2899.00,2399.00,200,93,200,5,10,声音很小 外观大气 特别快,海信（Hisense） 海信（Hisense） 1.5匹 壁挂式变频空调KFR-35GW/EF19A3(1N10) 10710873685 海信空调旗舰店 35.0kg 变频 冷暖空调 变频空调 白色有花纹 1.5匹 三级能效 15-20㎡ 壁挂式空调,海信,变频,海信（Hisense） 1.5匹 壁挂式变频空调KFR-35GW/EF19A3(1N10),1.5匹,京东
海尔（Haier） KF-23GW/13BEA13 小1匹单冷高效定频壁挂式空调套机 白色,海尔松岛专卖店,12839870389,2999.00,1899.00,100,95,100,3,4,外观大气 特别快 态度好,海尔（Haier） 海尔（Haier） KF-23GW/13BEA13 小1匹单冷高效定频壁挂式空调套机 白色 12839870389 海尔松岛专卖店 40.0kg 定频 单冷空调 静音空调 白色 小1匹 三级能效 10㎡以下 壁挂式空调,海尔,定频,海尔（Haier） KF-23GW/13BEA13 小1匹单冷高效定频壁挂式空调套机 白色,小1匹,京东
海尔（Haier） KFR-35GW/07WDE21AU1 大1.5匹变频节能自清洁挂机 白色,海尔泛舟空调专卖店,12356978451,4299.00,3799.00,0,100,0,0,0,,海尔（Haier） 海尔（Haier） KFR-35GW/07WDE21AU1 大1.5匹变频节能自清洁挂机 白色 12356978451 海尔泛舟空调专卖店 14.0kg 变频 冷暖空调 自动清洁 其他 1.5匹 一级能效 20-30㎡ 壁挂式空调,海尔,变频,海尔（Haier） KFR-35GW/07WDE21AU1 大1.5匹变频节能自清洁挂机 白色,1.5匹,京东
海尔（Haier） 大1.5匹空调变频节能冷暖挂机自清洁35GW/15DEA22AU1 大1.5P,海尔湖北步步赢专卖店,12338485614,5000.00,3599.00,5,100,5,0,0,,海尔（Haier） 海尔（Haier）KFR-35GW/15DEA22AU1套机 12338485614 海尔湖北步步赢专卖店 35.0kg 变频 冷暖空调 0元安装，高能效空调，智能空调，变频空调，静音空调，全直流变频，自动清洁 白色 1.5匹 二级能效 15-20㎡ 壁挂式空调,海尔,变频,海尔（Haier）KFR-35GW/15DEA22AU1套机,1.5匹,京东
海尔（Haier）KFR-26GW/08PAA21A 1匹变频冷暖挂机自清洁空调套机,海尔隆阳专卖店,16609100406,3699.00,3699.00,1,100,1,0,0,,海尔（Haier） 海尔（Haier）KFR-26GW/08PAA21A 1匹变频冷暖挂机自清洁空调套机 16609100406 海尔隆阳专卖店 42.0kg 中国大陆 变频 冷暖空调 高能效空调，静音空调 白色 1匹 一级能效 10-15㎡ 壁挂式空调,海尔,变频,海尔（Haier）KFR-26GW/08PAA21A 1匹变频冷暖挂机自清洁空调套机,1匹,京东
海尔（Haier） 智能变频空调 自清洁 冷暖挂机 手机APP控制一级能效节能省电 家用 小1.5匹 KFR-32GW/13BAA21AU1,海尔蓝宝专卖店,15751477217,5999.00,4399.00,20,95,20,0,1,,海尔（Haier） 海尔（Haier） 智能变频空调 自清洁 冷暖挂机 手机APP控制一级能效节能省电 家用 小1.5匹 KFR-32GW/13BAA21AU1 15751477217 海尔蓝宝专卖店 65.0kg 变频 冷暖空调 智能空调 金色 1.5匹 一级能效 10-15㎡ 壁挂式空调,海尔,变频,海尔（Haier） 智能变频空调 自清洁 冷暖挂机 手机APP控制一级能效节能省电 家用 小1.5匹 KFR-32GW/13BAA21AU1,1.5匹,京东
海尔（Haier）KFR-26GW/A1YAAA21AU1 舒适风系列1匹变频壁挂式空调,海尔欣盛空调专卖店,16603686060,5599.00,5599.00,0,100,0,0,0,,海尔（Haier） 海尔（Haier）KFR-26GW/A1YAAA21AU1 舒适风系列1匹变频壁挂式空调 16603686060 海尔欣盛空调专卖店 42.5kg 变频 变频空调 冷暖空调 1匹 一级能效 15-20㎡ 壁挂式空调,海尔,变频,海尔（Haier）KFR-26GW/A1YAAA21AU1 舒适风系列1匹变频壁挂式空调,1匹,京东
