content_1,score
"""东西不多，但是货到还没装呢，价格就降了200百，申请价格保护，价格保护系统就是个样子货，完全没反应，这样太过分了吧？？？",-1
"""声音太大了，开飞机一样&hellip;是不是坏了的？",-1
"""格力太差劲了   服务一点都不行",-1
"""希望好用啊！",-1
"""拆装还要收费，服务太差了",-1
"""对京东 很失望 最差的一次购物 根本不给送货 垃圾玩意 后来说丢了一个空调 我申请退款 -1个月才退 各种推三堵四 开始客服说已经在催了 后来去了京东配送点 查询 才知道 根本没拦截成功 这已经-1度星期过去了 每次打客服电话 都说在催了 \n垃圾玩意 你弄丢了 怪我？ -1个月左右 客服才给联系 后来说发票也丢了 不给退\n\n为了让我退款 还在后台吧我订单改成已经收货了 让我在退款 终于-1星期以后给我份2批 退了 5000多\n第一次 京东给退了 税钱 剩下的 有客服退款 份2次打款 才退成功 用时一个月",-1
"""感觉不够制冷，大一匹-12平方房间制冷效果特慢，离心中的格力品牌有差距，一直都用京东",-1
"""很一般",-1
"""首先说下空调，空调非常给力，28度，都感觉到冷，三级能耗，有点抓狂。正好是高温天气安装的，及时雨，可苦了安装工，这天安装那是汗如雨下?。但是安装材料太贵，加一米管子都要90元，抢的赶脚，一个支架要30 .而且安装的垃圾弄到处都是。",-1
"""送，安b非常的速度，就是跟C~管太短",-1
"""空调刚安装好坏不评论。可以连一星也不给吗？售后安装的接连三天通知在家等安装，三次被放鸽子。中途打VIP专线几次都来回推诿，都是一句&ldquo;帮你联系安装，请你耐心等待&rdquo;没个明确答复。你们安装没时间就别通知我在家里等，我请假几个下午这务工费找谁啊。刚买第二天就降价200元，京东离死不远了。",-1
"""空调运送挺快的，但是安装时太久了，-10号联系安装的说是24小时内有工作人员会联系我上门安装，结果到了-13号才有人联系我来安装。今天第二次开，空调声音很大，扇叶老是抖，发出那种抖动声。房间-18-20平方，温度调到-19℃要20分钟才能感觉到凉，这样怎么算？算好，还是不好。之前是有人说京东的东西还不错，可以买，结果装个空调让我发了几次火，虽然后面有人出来解决了，但还是很失望～",-1
"""预约上门安装一个星期了，也没人来装，真不爽，后悔买格力，",-1
"""好坑，安装费加高空费居然486元，而且外机安放的架子原本我之前空调就留下的有，不要说架子钱！太可恶了",-1
"""外机噪音特别大，严重扰民，在室内都能听到呜呜的声音，安装师傅说格力的就这样，我家另一台海信空调用了七年了外机噪音几乎没有。真不知格力是怎么掌握核心科技的？",-1
"""安装费多收了 ，不锈钢架收了-120，京东官网说是80，膨胀螺丝一个-10元，京东官网说是加长的膨胀才收5元一个，一共多收80元，算了 大夏天的，两个安装工人也累的够呛，多收就多收吧。都不容易。",-1
"""6-18厉害啊，平时次日达的货4日达，客服打了几次电话，说23日送到，结果24日下午才到，没人给装，电话打不通，联系客服京东说不归他们管，让找格力，我就奇怪了，不是京东自营吗？做成**了还能叫自营不？网上下单说72个小时联系，你们咋不过完夏天再联系呢？做个6-18臭了京东的名声!",-1
"""快递有点不给力，这几天下雨凉快还没使用",-1
"""制冷效果有点差，大一匹还是不够，空间也不是很大啊",-1
"""买了两套，一个房间挺好，一个房间不行，可能是房间面积跟能力大小不匹配吧，提醒其他小伙伴购买时咨询清楚客服",-1
"""国产第一品牌，就是安装人员加管、安装支架的收费让人极为不舒服！格力控制成本就差一对室外机的安装支架吗？！",-1
"""扫地机器人优惠券欺诈行为，差评！",-1
"""一小时2度电，室外-10度，我开22度。这tm正常的。？",-1
"""买了一星期多了 还是没有人来安装",-1
"""空调八天前到了，今天师傅过来安装，那态度像是我欠他好多钱一样！我说怎么过这么久才来安装，天天各种给客服，给厂家打电话。然后师傅说你怎么不在实体店买，实体店买三天左右就能安装，网上买的压后。我当时就笑了！做不起就不要做！何必昵！",-1
"""自己在广东深圳，买给老家的老人用的，6.JUL下的单，-13.JUL才送到，还未安装，暂不知质量问题，",-1
"""产品的质量挺不错的，差评的原因是售后安转的速度和服务态度太让我失望了！",-1
"""空调安装了，一直没有使用。\n今天使用了，真是见面不如闻名啊！\n真响的，哞哞的响啊，真的不如原来我购买的美的空调，记录一下。\n\n我是指的空调内机啊，还不是空调外机，外机也响的很！！！\n\n差评！！！！！！！",-1
"""最失败的一次购物，货刚送到，付款后-10分钟安装人员联系我，说安装费500元，这不是明摆敲诈，投诉后，又联系我说给我安装，",-1
"""空调已经到了一星期，天天联系客服都安装不了，网上预约，电话预约都试了，安装人员根本就不接电话。",-1
"""空调还是不错的，就是安装的我就不高兴了，当天正好有事，让家里老人担心一点的，安装人员居然把外机装的比内机还高！你确定你是专业的？",-1
"""不如五年前的格力好，这款制冷不行，噪音还大，建议同样价位选择别的品牌，比这个便宜很多，最生气的还是客服态度，太辣鸡了，买空调买了半个多月才到货",-1
"""这是对京东最不满意的一次购物，6月-18号拍的空调，说是月底有货，可是一拖再拖，到了七月中旬才发货，还有就是安装人员说是上午来安装，可是我在家等到了下午五六点都没有到，自己吓得都不敢出门，最后只能冒着黑夜出门办事情，这时候安装工打电话说要来装，最后只能让让弟弟大老远跑到我家开门让他们进家，当时电话里就说空调尽量安装离房顶高点，因为是要放儿童高低床的，一再强调了，可是等我到家后，一看空调要晕死，尽然安装的离房顶有40 厘米选，这样我的高低床根本就放不进去了。工作人员一点都不认真，主卧是去年八月份时格力空调，安装人员装的就很靠房顶，紧贴着踢脚线，看着很舒服，空调运行也正常，这次购物  安装都让我非常的不满意，太失望了。",-1
"""空调是买了好几台了，物流也快，送货的师傅值接关家。就是按装的师傅太ta,ma的cao,dan了，打开窗户主机放到窗外就要收高空费一百元，还说是在网上购买的都要收，我买了好几台了都没收过。意思是说叫别人以后不要在网上买东西了哟。真是cao,dan。",-1
"""大-1P对于-12平的房间似乎有点小了，制热制冷都慢，还是该买-1.5的",-1
"""等了好久，才到",-1
"""很满意的购物，特别感谢京东的快递员，五楼没电梯辛苦了！",-1
"""比较好格力空调",-1
"""第一次上京东就遇到价格问题&hellip;呵呵哒",-1
"""要多收钱，安装费",-1
"""上午买下午降价一百，还不退差价！给家人买的！我买起自己用的话就退货了，一星都不想给！",-1
"""最最不好的一次网购，便宜没好货",-1
"""货收到了 怎么联系客服电话什么时候才能来安装呢？",-1
"""制冷慢，制冷慢，制冷慢，制冷慢，制冷慢，制冷慢，制冷慢，",-1
"""-1.外观有损出，有黄斑点\n2.有回水现象\n3.没有左右扫风，旧品新包么？\n4.用过了才知道，谁买谁试试我同感，别让我孤独。\n5.变频才是最佳选择，没货才选其次。",-1
"""满意，速度快",-1
"""伟大的京东和格力，请问有这样安装空调铜管的吗？你咋不把一捆铜管全部盘在那呢！！！两个挂机除去自带的6米铜管，现场额外增加5米！！！你咋不去抢钱呢！！！！网购这么多电器，最糟心的一次安装！希望后买者仔细看图！引以为戒！被道德绑架无奈答应安装人员不投诉，可我们小工薪阶层的钱都是天上掉下来的？！！！安装态度OK办事狠绝！！！",-1
"""说好了5,6点送货过来，快递师傅差不多晚上8点才送货过来，送货过来，外箱还是有点坏的，心里很不是滋味，生怕运输过程中被人掉包，或者是很久的库存，安装，还要加80元架子费，50元打个孔，孔费很贵，另外还要加30元远程费，妈的，坑人，说好是送货上门，还要加钱，之前从来没有要加这个远程费，婆婆说噪音很大，但是由于我不在老家，不知道她说的很大噪音是多大，哎，先试用一段时间，不行的话，再说吧",-1
"""机子暂时不评论。",-1
"""本来期望值很高的，最后却非常失望！送货前说的时间却提前一天到，而且是到了门口才说已经到了，还好有人在家，否则出事情谁负责？送到就说只负责送货不包安装就走了。打400没人接，找了客服什么都解决不了，没有提前告诉我安装需要另预约，说-1-2个工作日会有人联系我解决，等了4天也没等到相关人员找我，一问到相关问题不是叫你自己去查资料查网页就敷衍了事，到现在安装的事情也不了了之，空调在家里现在都还没安装，京东这样的态度，太让人心寒了&hellip;&hellip;",-1
"""7月25日买2台的 7月29日送一台安装一台 还有一台到现在没反应 电话都没有一个 以后不敢在京东买东西了",-1
"""就是安装材料费大贵，一个支架40元，空调管接-1.5米-150元，打一个洞30元。其它的服务还可以",-1
"""噪音大",-1
"""售后安装服务不好，多收安装打孔费-150元，后来多次打电话后才退了",-1
"""对安装不满意，专业安装居然没有钻孔工具，把我的墙钻得乱七八槽，最终还得请人钻才能用，我还得补墙",-1
"""空调外观设计不错，格力品圆系列的空调都没有左右扫风功能吗？反正我买的这个有左右的叶片却左右不能扫风，打客服电话问，客服是这样说的，说品圆都没有左右扫风功能。有点怀疑。其他来说，还可以，制冷效果一般，安装人员素质有待提高，支架收费被发现多收了-10块。呵呵",-1
"""制冷效果比较快声音较小，只是安装师傅把冷气管挡住了电源插口，使用不太方便",-1
"""安装费太贵",-1
"""产品本身还不错，就是安装居然什么都要收费，什么支架，铜管，也没说明多长铜管免费呀",-1
"""制冷速度有点慢，声音有些大，不太满意",-1
"""买了这么久，竟然没人联系安装，打格力售后，说天津隆盛宏泰网点安装，等你好久也没人联系，厂家应该好好管理你们的网点，加强管理，批评教育！这样的网点不做也罢！！",-1
"""制冷效果一般",-1
"""差差差，竟然发了一个用过的，开过口的给我",-1
"""没仔细看，居然3级能耗。安装收了380",-1
"""价格挺不错 来了装上发现能耗是3级  以后还是去商场\n京东越来越垃圾了 希望早日倒闭",-1
"""垃圾，两天了还没安装，格力客服还不理人！我真是草了！一个星都是多的！垃圾垃圾，气死我了！",-1
"""超级失败的一次购物",-1
"""差评，安装费收的太贵了，两台格力花了五六百的安装费",-1
"""制冷效果一点不好",-1
"""安装还可以的，就是制热不行开30度还是冷风送货来的时候，有吧横到处都凸进去了，打服务电话没人接骗人的下次再不在京东买东西了。",-1
"""等待安装，简洁大方，感觉美美哒",-1
"""价格不稳定，多花钱了，产品一般，客服墨迹，安装另收费。",-1
"""都是隐形消费",-1
"""历史上最最最垃圾的一次购物，最主要还是京东和格力的的态度差到不行，空调外机吵得要死，晚上根本睡不了，联系京东和格力说退货，格力的说不能退，硬要说没有质量问题，如果空调的质量也就这样的话，建议大家不要购买，浪费钱还一肚子火。根本没人理会和处理，电话不知道打几次了都被忽悠了，十几天也就这样被忽悠过来了，等你取消售后了才一直打你电话。我也是醉了，这是几个意思，大家不要上当受骗了。",-1
"""把我墙壁搞脏了，另外一个空调露出很难看的洞，师傅说无法解决，不是很满意",-1
"""送货很快，预约安装当天就装上了。用的新冷媒，必须抽真空安装，安装师傅也很配合。收了80块的支架钱，将外机装在小阳台，后来查到一些空调外机漏电的报道，现在有点担心安全了。。。",-1
"""空调送到家里十多天了，一直没有人来安装（4天前已经在格力客服预约了），天气这么热，买了台空调却只能放在客厅里看着！！！",-1
"""这一星是给空调质量的。售后安装简直就是垃圾中的垃圾，没有更垃圾！买了三台，两台的水管和电线在装修的时候已经布好了，结果安装的师傅说定频的需要7芯线，我的四芯线不行，装不了。没有布线的一台他装好了，铜管多加了-1米多，收了-180元，还另外收了40元的水管费用。今**了客服和外面的两家格力专卖店，他们都说-1匹的三芯线就够了！",-1
"""本来双十一预售2-199的，说什么是最低的价格，结果-1-1.-1-1零点现货才-1999元，申请价格保护说什么有赠品，不能选择价格保护，（赠品是-100元维修基金）。空调6年以上才会坏，你想想这是什么套路，其实就京东设下的陷阱，同样的我申请了另外几台空调的价格保护结果通过了，但是金额是-1元，同样有赠品，从这里可以看出，完全是京东的套路，今年我在京东购买了几万元的商品，看到这个回复非常的失望，以后大家前往不要相信什么预售，那都是假的，其实最后一天才是最便宜的。货比三家。",-1
"""空调不错，不过京东客服真心的垃圾！空调说有现货，等了8天才送来！安装人员服务还行，京东客服真心垃圾！查不到单号，查不到单号，查不到单号！重要事情说三遍！重要事情说三遍！重复三遍！ 我没见到货的时候，网页已经提示签收安装成功了！我还没见空调影子的时候已经提示签收了！ 还有这个空调我家旁边实体店*",-1
"""物流快，制冷效果好，不过京东现在安装要收取高空作业费一百元，本人感觉有点不地道，只能给三粒星京东",-1
"""空调今天收到了，还没看，先不说质量怎么样，格力的售后真的让我无语，电话打了几十个没人接，座席全那那你，有那么多电话吗？然后说到网上提交，?登陆网页提交报装没反应，电脑上又提交了2次终于成功了，但到底什么时候来安装就不知道了，后续再看格力安装工上门后是否存在违规收费吧",-1
"""还行吧，等天气热起来再用...",-1
"""前后相差7天，降了-100，fk you",-1
"""一般般，冬天24小时开着，都不热。房间很小，制热真的很差",-1
"""图便宜买的空调，如果是自己房子常用的，还是建议大家买贵点的，毕竟一分钱一分货，看中什么除甲醛功能，其实每款里都有，就是一排碳粉而已，至于功效，不如直接买一包碳放房间实在。而且品系列的健康和换气功能是没有的，虽然遥控上有按键。",-1
