CommentCount,GoodRateShow,GoodCount,F_type,price,GeneralCount,brand,p_Name,PreferentialPrice,PoorCount,shop_name,X_type,type,keyword,ProductID,Y_type
47000,98,46000,none,799.00,500,小狗（puppy）,小狗（puppy） 小型静音除螨大功率家用吸尘器D-9005  ,799.00,200,小狗电器官方旗舰店,床褥沙发吸头，地面吸头，缝隙吸头，扁嘴吸头，毛刷吸头，小吸头,"小狗（puppy） 小型静音除螨大功率家用吸尘器D-9005  ,1351586523, ,8.9kg,中国大陆,D-9005,地板，地毯，瓷砖，厨房，沙发，床铺，酒店,水洗尘杯，水洗滤网，旋风过滤，除螨,卧式吸尘器,电源式（5米-10米）,1400w-1799w,床褥沙发吸头，地面吸头，缝隙吸头，扁嘴吸头，毛刷吸头，小吸头",吸尘器不错 吸力很大 质量不错 吸尘很干净 电源线够长 使用方便 打扫干净 功率大 噪音小 吸头很多 吸力持久 小巧轻便 吸尘很干净 易收纳 打扫干净 尘杯容量大 吸力很大 刷头多样 质量不错,1351586523,卧式吸尘器
1700,97,1700,落地扇，塔扇,4691.00,30,DYSON,戴森(Dyson) AM07白银 落地式无叶电风扇/塔扇,3790.00,10,戴森官方旗舰店,none,"戴森AM07,1182248,5.14kg,马来西亚,8小时以上,五档以上,正常风，正常风、自然风，正常风、自然风、睡眠风,落地扇，塔扇,遥控式,无叶",造型美观 风很柔和 风扇不错 质量不错 遥控方便 噪音很小 安装方便 安全节能 风力很大 颜色漂亮,1182248,none
92000,94,86000,none,299.00,3600,九阳（Joyoung）,九阳（Joyoung）榨汁机（汁渣分离）家用果汁机JYZ-D51,149.00,1700,九阳厨房电器旗舰店,none,"九阳JYZ-D51,1000543,2.5kg,中国大陆,榨汁,15001转/分(含)-18000转/分(含),旋钮式,电动榨汁机",榨汁速度快 榨汁很好 使用方便 速度快 出汁率很高 东西不错 声音小 好清洗 一般 还可以吧,1000543,电动榨汁机
500,98,500,none,2699.00,10,DYSON,戴森(Dyson) 吸尘器 V6 EXTRA手持吸尘器家用除螨无线,2690.00,2,戴森官方旗舰店,电动吸头，床褥沙发吸头，地面吸头，缝隙吸头，扁嘴吸头，毛刷吸头,"DYSONDYSON V6 EXTRA,4070741,4.21kg,马来西亚,地板，地毯，瓷砖，厨房，沙发，床铺，汽车,水洗滤网，旋风过滤，除螨,无线吸尘器,500W以下,电动吸头，床褥沙发吸头，地面吸头，缝隙吸头，扁嘴吸头，毛刷吸头",外观漂亮 小巧轻便 使用方便 吸尘很干净 吸力很大 吸尘器不错 打扫干净 吸头很多 刷头多样 功率大 质量不错 吸尘器不错 小巧轻便 吸头很多 易收纳 小巧轻便 打扫干净 噪音小 使用方便,4070741,无线吸尘器
100000,96,97000,落地扇,199.00,2800,先锋（SINGFUN）,先锋（Singfun）大风量电风扇/落地扇 DD1701,109.00,1500,先锋两季品旗舰店,none,"先锋DD1701,3998821,5.84kg,浙江宁波,DD1701(DLD-D1),无定时,三档调节,正常风,5片,2级,机械式,落地扇",风力很大 安装方便 风扇不错 质量不错 使用方便 底座很稳 造型美观 颜色漂亮 噪音很小 安全节能 噪音很小 安装方便 质量不错 风力很大 广角送风,3998821,none
18000,97,18000,none,1799.00,300,飞利浦（PHILIPS）,飞利浦（PHILIPS）榨汁机 HR1871/00 果汁机家用 不锈钢外壳 大口径 防滴漏,659.00,100,飞利浦厨房电器旗舰店,none,"飞利浦HR1871/00,491148,6.46kg,中国大陆,5人以上,二档(含)-五档(含),不锈钢,榨汁,旋钮式",榨汁很好 榨汁速度快 出汁率很高 东西不错 使用方便 速度快 好清洗 果汁细腻 声音小 料理机很好,491148,none
11000,98,10000,none,1200.00,100,飞利浦（PHILIPS）,飞利浦（PHILIPS）吸尘器FC6162/81无绳充电式手持立式二合一,1199.00,80,飞利浦品牌旗舰店,地面吸头，缝隙吸头,"飞利浦FC6162/81,1077571,4.33kg,广东珠海,地板，地毯，瓷砖，厨房，沙发，床铺,水洗尘杯，水洗滤网，旋风过滤,立式/手持吸尘器,充电式（无线）,地面吸头，缝隙吸头",使用方便 质量不错 吸尘器不错 吸尘很干净 打扫干净 小巧轻便 外观漂亮 噪音小 吸力很大 配件齐全 易收纳 外观漂亮 打扫干净 质量不错 噪音小 配件齐全,1077571,立式/手持吸尘器
180000,96,170000,落地扇,309.00,5600,艾美特（AIRMATE）,艾美特(Airmate) FSW65T2-5 五叶落地扇/电风扇,189.00,2400,艾美特生活电器旗舰店,none,"艾美特FSW65T2-5,829764,6.82kg,中国,2小时以下,三档调节,正常风,5片,1级,机械式,落地扇",风扇不错 质量不错 安装方便 风力很大 使用方便 噪音很小 底座很稳 风很柔和 造型美观 安全节能 风力很大 风很柔和 底座很稳 使用方便 安全节能,829764,none
43000,97,41000,none,499.00,900,飞利浦（PHILIPS）,飞利浦（PHILIPS）榨汁机 HR1832/02 迷你果汁机家用  防滴漏,289.00,400,飞利浦厨房电器旗舰店,none,"飞利浦HR1832/02,1003105,2.75kg,中国广东深圳,电动榨汁机",榨汁速度快 使用方便 榨汁很好 东西不错 好清洗 速度快 出汁率很高 果汁细腻 还可以吧 料理机很好,1003105,电动榨汁机
500,99,500,none,2991.00,5,DYSON,戴森(Dyson) 吸尘器 V6 ANIMAL+手持吸尘器家用除螨无线,2990.00,1,戴森官方旗舰店,电动吸头，床褥沙发吸头，地面吸头，缝隙吸头，毛刷吸头，其他,"DYSONDYSON V6 ANIMAL+,4838732,4.43kg,马来西亚,地板，地毯，瓷砖，厨房，沙发，床铺，汽车,水洗滤网，旋风过滤，除螨,无线吸尘器,充电式（无线）,500W以下,电动吸头，床褥沙发吸头，地面吸头，缝隙吸头，毛刷吸头，其他",吸力很大 吸尘很干净 吸尘器不错 小巧轻便 吸力持久 打扫干净 配件齐全 外观漂亮 吸头很多 刷头多样 质量不错 刷头多样 使用方便 吸尘器不错 刷头多样 小巧轻便 吸力很大,4838732,无线吸尘器
98000,94,92000,落地扇,268.00,4100,康佳（KONKA）,康佳（KONKA）遥控电风扇/落地扇/五扇叶遥控落地扇KF-40LY01,139.00,2300,康佳两季品旗舰店,none,"康佳KF-40LY01,1093073,6.2kg,中国大陆,2-8小时,三档调节,正常风、自然风、睡眠风,5片,2级,遥控式,落地扇",遥控方便 安装方便 风力很大 风扇不错 质量不错 使用方便 远程遥控 底座很稳 风很柔和 噪音很小 安装方便,1093073,none
400,97,400,none,4580.00,7,惠人（HUROM）,惠人（HUROM）HU28WN3L 韩国进口家用原汁机低速榨汁机新三代 红色,2680.00,6,HUROM/惠人官方旗舰店,none,"惠人HU28WN3L,4406840,10.8kg,韩国,榨汁，豆腐，冰淇淋奶昔，豆浆,0-50转/分,按键式,原汁机",,4406840,原汁机
17000,98,16000,none,999.00,100,小狗（puppy）,小狗（puppy）家用无线无绳手持立式充电小型吸尘器D-531,999.00,100,小狗电器官方旗舰店,电动吸头，床褥沙发吸头，地面吸头，缝隙吸头，扁嘴吸头，毛刷吸头,"小狗（puppy）家用无线无绳手持立式充电小型吸尘器D-531,10126937869, ,3.0kg,中国大陆,D-531,地板，地毯，瓷砖，厨房，沙发，床铺，汽车，酒店,水洗尘杯，水洗滤网，旋风过滤，除螨,无线吸尘器,充电式（无线）,500W以下,电动吸头，床褥沙发吸头，地面吸头，缝隙吸头，扁嘴吸头，毛刷吸头",使用方便 吸尘器不错 质量不错 吸尘很干净 打扫干净 小巧轻便 外观漂亮 吸力很大 噪音小 易收纳 外观漂亮 不易缠发 打扫干净 节能电机 吸尘器不错,10126937869,无线吸尘器
200,96,200,落地扇，塔扇，空气循环扇,4691.00,3,DYSON,戴森(Dyson) TP00空气净化风扇/电风扇/塔扇 净化PM0.1和甲醛+强劲气流 循环室内空气 银白,4690.00,6,戴森官方旗舰店,none,"DYSONTP00白银,4071591,5.42kg,马来西亚,308774-01,8小时以上,五档以上,正常风、自然风、睡眠风,无叶,无,遥控式,落地扇，塔扇，空气循环扇",适合宝宝 颜色漂亮 遥控方便 安装方便 噪音很小 风很柔和 风力很大 风扇不错 造型美观 使用方便 质量不错 造型美观 风很柔和 噪音很小 颜色漂亮 风力很大 造型美观 电机好 遥控方便,4071591,none
1000,98,900,none,4580.00,8,惠人（HUROM）,惠人（HUROM）HUZK2700WN 三代升级款 原汁机家用低速榨汁机,3380.00,10,HUROM/惠人官方旗舰店,none,"惠人HUZK2700WN,4144909,10.82kg,韩国,0-50转/分,其它,原汁机,榨汁，豆腐，冰淇淋奶昔，豆浆，其他,其他",,4144909,原汁机
8000,99,7900,none,999.00,50,莱克（LEXY）,莱克（LEXY）除螨仪小型手持床铺除螨机家用吸尘器VC-B501,649.00,20,莱克旗舰店,none,"莱克VC-B501,1419129,3.48kg,中国大陆,沙发，床铺,水洗尘杯，水洗滤网，旋风过滤，除螨,除螨仪",吸力很大 电源线够长 使用方便 吸尘很干净 吸尘器不错 质量不错 打扫干净 功率大 噪音小 东西不错 使用方便 配件齐全 尘杯容量大 吸力很大 吸尘器不错 功率大 打扫干净 尘杯容量大 吸尘很干净 吸力很大 功率大 吸尘器不错 电源线够长,1419129,除螨仪
13000,96,12000,落地扇,599.00,200,艾美特（AIRMATE）,艾美特(Airmate) FS40103R 五叶遥控落地扇/电风扇,219.00,200,艾美特生活电器旗舰店,none,"艾美特FS40103R,3918861,7.7kg,中国,2-8小时,三档调节,正常风,5片,1级,遥控式,落地扇",安装方便 遥控方便 风扇不错 造型美观 噪音很小 风很柔和 使用方便 颜色漂亮 风力很大 远程遥控 底座很稳 睡眠风不错 噪音很小 风力很大 风力很大 底座很稳 风扇不错 颜色漂亮 遥控方便 质量不错 风很柔和 造型美观 风很柔和 睡眠风不错 遥控方便 颜色漂亮 风扇不错,3918861,none
2600,99,2500,none,3980.00,10,西屋（Westinghouse）,美国西屋（Westinghouse）破壁料理机加热轻便不锈钢家用辅食原汁机榨汁机 LS0301升级版,2580.00,10,西屋旗舰店,none,"美国西屋（Westinghouse）破壁料理机加热轻便不锈钢家用辅食原汁机榨汁机 LS0301升级版,10478677488, ,5.3kg,自动清洗,25000转/分及以上,按键式,料理/辅食机,手动,其他,搅拌，榨汁，研磨，碎冰，五谷类粉，冰淇淋/奶昔,3-5人",料理机很好 使用方便 东西不错 榨汁很好 果汁细腻 榨汁速度快 速度快 出汁率很高 好清洗 绞肉不错 速度快 使用方便 榨汁很好 使用方便 东西不错 料理机很好 使用方便 东西不错 好清洗 打蛋很方便 榨汁很好 出汁率很高 榨汁速度快 料理机很好,10478677488,料理/辅食机
8100,98,7900,none,1000.00,100,飞利浦（PHILIPS）,飞利浦（PHILIPS）吸尘器FC5833/81家用无尘袋大功率（薄荷绿）,999.00,90,飞利浦品牌旗舰店,床褥沙发吸头，地面吸头，缝隙吸头，毛刷吸头，小吸头,"飞利浦FC5833/81,2267834,8.06kg,中国大陆,地板，地毯，瓷砖，厨房，沙发，床铺,水洗尘杯，水洗滤网，旋风过滤,卧式吸尘器,电源式（5米-10米）,1400w-1799w,床褥沙发吸头，地面吸头，缝隙吸头，毛刷吸头，小吸头",吸力很大 吸尘很干净 吸尘器不错 外观漂亮 质量不错 使用方便 打扫干净 电源线够长 功率大 吸头很多 电源线够长 干湿两用 功率大 质量不错 防撞保护 吸力持久,2267834,卧式吸尘器
44000,97,42000,落地扇,359.00,900,美的（Midea）,美的（Midea）FS40-15HRW 五叶遥控落地扇/电风扇,239.00,600,美的两季品旗舰店,none,"美的FS40-15HRW,2355523,8.34kg,中国大陆,2-8小时,五档以上,正常风、自然风、睡眠风,5片,1级,遥控式,落地扇",噪音很小 风扇不错 安装方便 遥控方便 质量不错 风很柔和 使用方便 底座很稳 造型美观 风力很大 扇网坚固 风力很大 风很柔和 底座很稳 遥控方便 安全节能 风力很大 远程遥控 风很柔和 使用方便 安装方便 风力很大 风很柔和 安全节能,2355523,none
11000,99,11000,none,2399.00,60,奥克斯（AUX）,奥克斯（AUX）962破壁料理机 加热破壁机 榨汁机家用原汁机豆浆机辅食机搅拌机果汁机,1599.00,40,奥克斯厨房小电旗舰店,none,"奥克斯（AUX）962破壁料理机 加热破壁机 榨汁机家用原汁机豆浆机辅食机搅拌机果汁机,10355761948, ,9.0kg,中国大陆,自动清洗,25000转/分及以上,触摸式,料理/辅食机,八档以上,塑料,搅拌，榨汁，碎肉，研磨，碎冰，五谷类粉,3-5人",东西不错 使用方便 料理机很好 果汁细腻 速度快 好清洗 榨汁很好 榨汁速度快 出汁率很高 声音小 果汁细腻 榨汁速度快 东西不错 速度快 料理机很好 速度快 料理机很好,10355761948,料理/辅食机
10000,99,10000,none,1599.00,100,莱克（LEXY）,莱克吸尘器 VC-SP1001D-10家用无线手持吸尘器车用,799.00,40,莱克旗舰店,none,"莱克VC-SP1001D-10,1120207,5.26kg,中国大陆,地板，地毯，瓷砖,水洗尘杯，水洗滤网,无线吸尘器",使用方便 吸尘器不错 质量不错 吸尘很干净 打扫干净 外观漂亮 噪音小 吸力很大 小巧轻便 功率大,1120207,无线吸尘器
180000,96,170000,落地扇,199.00,4900,美的（Midea）,美的（Midea）FS40-11L1 落地扇/电风扇,149.00,2400,美的两季品旗舰店,none,"美的FS40-11L1,861100,7.82kg,广东中山,无定时,三档调节,正常风,3片,1级,机械式,落地扇",风扇不错 质量不错 安装方便 噪音很小 使用方便 风力很大 风很柔和 底座很稳 造型美观 颜色漂亮 使用方便 风力很大 噪音很小,861100,none
100000,90,94000,单冷,599.00,7200,先锋（SINGFUN）,先锋（Singfun）大风量遥控空调扇/冷风扇/电风扇DG091,349.00,2800,先锋两季品旗舰店,none,"先锋DG091,372811,7.73kg,宁波慈溪,DG091(FK-L19A/R),5-7L,2-8小时,三档调节,正常风、自然风、睡眠风,单冷,遥控式,竖出风",还可以吧 送货快 比风扇好 风扇不错 风挺大的 送冰晶 外型好看 冷风效果好 加冰很凉快 尺寸合适 加了冰晶 外型好看 风扇不错 送货快 尺寸合适 冷风效果好 水箱很大,372811,none
4000,98,4000,none,599.00,40,摩飞电器（Morphyrichards）,摩飞（ Morphyrichards ）料理机榨汁机 家用果汁机搅拌奶昔果汁双杯MR9200,298.00,40,摩飞旗舰店,none,"摩飞电器MR9200,2776378,1.935kg,中国大陆,榨汁，豆腐，冰淇淋奶昔，碎冰，豆浆，其他,20000转/分(含)以上,旋钮式,原汁机",,2776378,原汁机
49000,97,48000,none,499.00,700,美的（Midea）,美的（Midea）吸尘器C3-L148B家用无耗材卧式吸尘器,369.00,400,美的吸尘器旗舰店,地面吸头，扁嘴吸头，毛刷吸头,"美的C3-L148B,1312738,6.86kg,中国大陆,地板，地毯，瓷砖，厨房，床铺,水洗尘杯，旋风过滤,卧式吸尘器,电源式（5米-10米）,1000w-1399w,地面吸头，扁嘴吸头，毛刷吸头",吸力很大 吸尘器不错 吸尘很干净 使用方便 质量不错 打扫干净 电源线够长 功率大 吸头很多 小巧轻便,1312738,卧式吸尘器
17000,97,17000,落地扇,239.00,200,格力（GREE）,格力（GREE）FD-4010-WG 五叶机械落地扇 电风扇,159.00,100,格力生活电器旗舰店,none,"格力FD-4010-WG,4483862,7.3kg,中国大陆,三档调节,正常风,5片,1级,机械式,落地扇",风扇不错 安装方便 质量不错 风力很大 噪音很小 使用方便 风很柔和 造型美观 底座很稳 颜色漂亮 噪音很小 底座很稳 安装方便 颜色漂亮 风力很大 广角送风 风很柔和 电机好 底座很稳 噪音很小 底座很稳 扇网坚固 安装方便 使用方便 噪音很小,4483862,none
8800,90,7900,单冷,439.00,500,格力（GREE）,格力（GREE）KS-0602ehG-wg 冷风扇/空调扇,339.00,300,格力生活电器旗舰店,none,"格力KS-0602ehG-wg,848301,11.39kg,中山,5-7L,无定时,四档调节,正常风,单冷,机械式,竖出风",送货快 外型好看 风扇不错 比风扇好 声音小 尺寸合适 冷风效果好 加湿空气 风挺大的 送冰晶,848301,none
3700,97,3600,none,1000.00,70,九阳（Joyoung）,九阳（Joyoung）JYZ-V15榨汁机家用多功能原汁机果汁机（出汁率高）可制作冰淇淋,699.00,50,九阳厨房电器旗舰店,none,"九阳JYZ-V15,2630899,4.35kg,中国大陆,0-50转/分,按键式,原汁机,榨汁，冰淇淋奶昔，豆浆,其他",,2630899,原汁机
56000,99,55000,none,499.00,500,小狗（puppy）,小狗（puppy）小型手持床铺除螨机除螨仪家用吸尘器D-607,279.00,200,小狗电器自营旗舰店,其他,"小狗D-607,2963900,1.89kg,江苏省-苏州市,D-607,沙发，床铺,水洗尘杯，水洗滤网，除螨,除螨仪,电源式（5米以下）,500W以下,其他",吸尘器不错 使用方便 小巧轻便 外观漂亮 吸尘很干净 电源线够长 质量不错 吸力很大 打扫干净 噪音小,2963900,除螨仪
74000,95,70000,落地扇,369.00,2500,澳柯玛（AUCMA）,澳柯玛（AUCMA）FS-40ND06(Y) 五叶AS扇叶遥控电风扇/落地扇,139.00,1600,澳柯玛两季品旗舰店,none,"澳柯玛FS-40ND06(Y),1370345,6.2kg,中国青岛,8小时以上,三档调节,正常风,5片,2级,遥控式,落地扇",遥控方便 安装方便 风扇不错 风力很大 使用方便 质量不错 底座很稳 噪音很小 风很柔和 远程遥控,1370345,none
12000,91,11000,单冷,699.00,700,艾美特（AIRMATE）,艾美特(Airmate) CFTW10-14 塔式遥控冷风扇/塔扇/空调扇/电风扇,549.00,300,艾美特生活电器旗舰店,none,"艾美特CFTW10-14,829747,10.04kg,中国,3-5L,8小时以上,四档调节,正常风、自然风、睡眠风,单冷,遥控式,竖出风",送货快 风挺大的 外型好看 风扇不错 比风扇好 比风扇风大 冷风效果好 尺寸合适 比空调省电 智能操作,829747,none
23000,97,22000,none,799.00,400,九阳（Joyoung）,九阳（Joyoung）榨汁机家用原汁机智能JYZ-V1（升级）,499.00,300,九阳厨房电器旗舰店,none,"九阳JYZ-V1（升级）,3911250,4.2kg,中国大陆,榨汁，冰淇淋奶昔，豆浆,0-50转/分,按键式,原汁机",,3911250,原汁机
140000,97,140000,none,298.00,3200,德尔玛（Deerma）,德尔玛（Deerma） DX128C 家用 吸尘器 迷你 手持小型 推杆吸尘器 有效除螨,99.00,900,德尔玛官方旗舰店,地面吸头，扁嘴吸头，毛刷吸头,"德尔玛DX128C,1042114,1.82kg,广东佛山,地面吸头，扁嘴吸头，毛刷吸头,地板，地毯，沙发,500w-999w,立式/手持吸尘器",使用方便 吸力很大 电源线够长 吸尘器不错 吸尘很干净 质量不错 打扫干净 东西不错 功率大 吸头很多 配件齐全 吸尘很干净 打扫干净 使用方便 电源线够长 电源线够长 小巧轻便 小巧轻便 吸尘器不错,1042114,立式/手持吸尘器
42000,97,40000,落地扇,499.00,800,先锋（SINGFUN）,先锋（Singfun）6档遥控电风扇/落地扇DD3305 LED液晶显示,179.00,500,先锋两季品旗舰店,none,"先锋FS40-14EREC（货号：DD3305）,1399677,7.54kg,宁波慈溪,DD3305,2-8小时,五档以上,正常风、自然风、睡眠风,5片,1级,遥控式,落地扇",遥控方便 风扇不错 安装方便 质量不错 噪音很小 使用方便 风力很大 风很柔和 底座很稳 造型美观,1399677,none
53000,89,46000,冷暖,799.00,3700,奥克斯（AUX）,奥克斯（AUX）遥控冷暖冷风扇/空调扇/电风扇/取暖器NFS-20F-1 ,399.00,2300,奥克斯两季品旗舰店,none,"奥克斯NFS-20F-1,1071138,8.16kg,浙江宁波,5-7L,2-8小时,三档调节,正常风、自然风、睡眠风,冷暖,遥控式,竖出风",送货快 东西不错 送冰晶 比风扇好 风挺大的 风扇不错 尺寸合适 冷风效果好 外型好看 加了冰晶 比风扇好,1071138,none
19000,97,18000,none,999.00,300,九阳（Joyoung）,九阳（Joyoung）榨汁机慢速揉取原汁机（制作果汁 豆浆 奶昔）JYZ-V911,369.00,200,九阳厨房电器旗舰店,none,"九阳JYZ-V911,1831720,3.81kg,中国大陆,0-50转/分,按键式,原汁机,榨汁，豆浆,塑料",使用方便 出汁率很高 东西不错 榨汁很好 榨汁速度快 果汁细腻 声音小 好清洗 还可以吧 速度快,1831720,原汁机
8100,97,7900,none,1200.00,100,杰诺,杰诺吸尘器干湿两用大功率工业大型桶式吸尘器 酒店宾馆地毯洗车场工厂车间商用吸尘器50L,599.00,100,杰诺官方旗舰店,地面吸头，缝隙吸头，扁嘴吸头，毛刷吸头，其他,"杰诺吸尘器干湿两用大功率工业大型桶式吸尘器 酒店宾馆地毯洗车场工厂车间商用吸尘器50L,1055989295, ,14.48kg,202-50L升级版,地板，地毯，瓷砖，酒店，工业,HEPA滤网（HEPA13及以上），水洗滤网，干湿两用,桶式吸尘器,电源式（5米-10米）,1800w及以上,地面吸头，缝隙吸头，扁嘴吸头，毛刷吸头，其他",吸力很大 吸尘器不错 吸尘很干净 功率大 打扫干净 还可以吧 使用方便 质量不错 配件齐全 电源线够长 吸力很大 打扫干净 东西不错 功率大 质量不错 吸力很大 质量不错 吸尘器不错 电源线够长 噪音小 吸头很多 配件齐全 打扫干净 外观漂亮 质量不错 吸尘很干净,1055989295,桶式吸尘器
