评论数,差评,售价,标价,型号,商品ID,品牌,商品名称,关键字,好评,中评,好评率,商铺名称
96000,2200,139,268,"康佳KF-40LY01,1093073,6.2kg,中国大陆,2-8小时,三档调节,正常风、自然风、睡眠风,5片,2级,遥控式,落地扇",1093073,康佳（KONKA）,康佳（KONKA）遥控电风扇/落地扇/五扇叶遥控落地扇KF-40LY01,遥控方便 安装方便 风力很大 风扇不错 质量不错 使用方便 远程遥控 底座很稳 风很柔和 噪音很小,90000,4000,94,康佳两季品旗舰店
12000,100,219,599,"艾美特FS40103R,3918861,7.7kg,中国,2-8小时,三档调节,正常风,5片,1级,遥控式,落地扇",3918861,艾美特（AIRMATE）,艾美特(Airmate) FS40103R 五叶遥控落地扇/电风扇,安装方便 风扇不错 遥控方便 造型美观 噪音很小 风很柔和 使用方便 颜色漂亮 风力很大 远程遥控 底座很稳 睡眠风不错 噪音很小 风力很大 风扇不错 颜色漂亮 遥控方便 质量不错 风很柔和 造型美观 风很柔和 睡眠风不错 遥控方便 颜色漂亮 风扇不错,11000,200,96,艾美特生活电器旗舰店
16000,100,169,239,"格力FD-4010-WG,4483862,7.3kg,中国大陆,三档调节,正常风,5片,1级,机械式,落地扇",4483862,格力（GREE）,格力（GREE）FD-4010-WG 五叶机械落地扇 电风扇,风扇不错 安装方便 质量不错 风力很大 使用方便 噪音很小 风很柔和 造型美观 底座很稳 颜色漂亮 噪音很小 底座很稳 安装方便 颜色漂亮 风力很大 广角送风 风很柔和 电机好 底座很稳 噪音很小 底座很稳 扇网坚固 安装方便 使用方便 噪音很小,15000,200,97,格力生活电器旗舰店
200,6,4490,4691,"DYSONTP00白银,4071591,5.42kg,马来西亚,308774-01,8小时以上,五档以上,正常风、自然风、睡眠风,无叶,无,遥控式,落地扇，塔扇，空气循环扇",4071591,DYSON,戴森(Dyson) TP00空气净化风扇/电风扇/塔扇 净化PM0.1和甲醛+强劲气流 循环室内空气 银白,适合宝宝 颜色漂亮 遥控方便 安装方便 噪音很小 风很柔和 风力很大 风扇不错 造型美观 使用方便 质量不错 造型美观 风很柔和 噪音很小 颜色漂亮 风力很大 造型美观 电机好 遥控方便,200,3,96,戴森官方旗舰店
180000,2400,159,199,"美的FS40-11L1,861100,7.82kg,广东中山,无定时,三档调节,正常风,3片,1级,机械式,落地扇",861100,美的（Midea）,美的（Midea）FS40-11L1 落地扇/电风扇,风扇不错 质量不错 安装方便 噪音很小 使用方便 风力很大 风很柔和 底座很稳 造型美观 颜色漂亮 使用方便 风力很大 噪音很小,170000,4900,96,美的两季品旗舰店
41000,500,199,499,"先锋FS40-14EREC（货号：DD3305）,1399677,7.54kg,宁波慈溪,DD3305,2-8小时,五档以上,正常风、自然风、睡眠风,5片,1级,遥控式,落地扇",1399677,先锋（SINGFUN）,先锋（Singfun）6档遥控电风扇/落地扇DD3305 LED液晶显示,遥控方便 风扇不错 安装方便 质量不错 噪音很小 使用方便 风力很大 风很柔和 底座很稳 造型美观,40000,800,97,先锋两季品旗舰店
25000,200,259,369,"美的KYS30-10CR,365888,4.65kg,广东,2-8小时,三档调节,正常风、自然风、睡眠风,5片,1级,遥控式,转页扇",365888,美的（Midea）,美的（Midea）KYS30-10CR 遥控升降转页扇/电风扇,安装方便 遥控方便 风扇不错 噪音很小 风很柔和 使用方便 质量不错 远程遥控 造型美观 睡眠风不错,25000,500,97,美的两季品旗舰店
43000,600,239,359,"美的FS40-15HRW,2355523,8.34kg,中国大陆,2-8小时,五档以上,正常风、自然风、睡眠风,5片,1级,遥控式,落地扇",2355523,美的（Midea）,美的（Midea）FS40-15HRW 五叶遥控落地扇/电风扇,噪音很小 风扇不错 安装方便 质量不错 遥控方便 风很柔和 使用方便 底座很稳 造型美观 风力很大 扇网坚固 风力很大 风很柔和 底座很稳 遥控方便 安全节能 风力很大 远程遥控 风很柔和 使用方便 安装方便 风力很大 风很柔和 安全节能,41000,900,97,美的两季品旗舰店
73000,1500,139,369,"澳柯玛FS-40ND06(Y),1370345,6.2kg,中国青岛,8小时以上,三档调节,正常风,5片,2级,遥控式,落地扇",1370345,澳柯玛（AUCMA）,澳柯玛（AUCMA）FS-40ND06(Y) 五叶AS扇叶遥控电风扇/落地扇,遥控方便 安装方便 风扇不错 风力很大 使用方便 质量不错 底座很稳 噪音很小 风很柔和 远程遥控,69000,2500,95,澳柯玛两季品旗舰店
90000,900,169,219,"美的KYT30-15AW,1361008,3.18kg,中国大陆,2小时以下,四档调节,正常风,5片,1级,机械式,转页扇",1361008,美的（Midea）,美的（Midea）KYT30-15AW 台式转页扇/电风扇,风扇不错 质量不错 风很柔和 噪音很小 使用方便 风力很大 底座很稳 声音小 睡眠风不错 电机好 风扇不错 广角送风 噪音很小 少见的问题,88000,1900,97,美的两季品旗舰店
5900,100,329,399,"美的FS40-17KRW,4425010,9.42kg,中国大陆,8小时以上,无极变速,正常风、自然风、睡眠风,5片,1级,遥控式,落地扇",4425010,美的（Midea）,美的（Midea）FS40-17KRW 五叶变频遥控落地扇/电风扇,遥控方便 噪音很小 风扇不错 造型美观 风很柔和 安装方便 质量不错 使用方便 风力很大 远程遥控 广角送风 遥控方便 适合宝宝 颜色漂亮 质量不错 遥控方便 电机好 远程遥控 风力很大 风很柔和 扇网坚固 安装方便 遥控方便 风很柔和 造型美观 安装方便 扇网坚固 声音很大,5700,100,96,美的两季品旗舰店
18000,200,319,699,"艾美特FS4086RI-W,1365527,9.4kg,中国,8小时以上,五档以上,正常风、自然风、睡眠风,7片及以上,1级,遥控式,落地扇",1365527,艾美特（AIRMATE）,艾美特(Airmate) FS4086RI-W 七叶遥控落地扇/电风扇,噪音很小 风很柔和 风扇不错 质量不错 遥控方便 安装方便 风力很大 造型美观 使用方便 底座很稳,17000,400,95,艾美特生活电器旗舰店
19000,200,198,359,"格力FD-4030B,2599660,7.5kg,中国大陆,2-8小时,三档调节,正常风、自然风、睡眠风,3片,1级,遥控式,落地扇",2599660,格力（GREE）,格力（GREE）FD-4030B 遥控式落地扇/电风扇,安装方便 遥控方便 质量不错 风扇不错 风力很大 造型美观 噪音很小 使用方便 远程遥控 底座很稳 造型美观 风很柔和 睡眠风不错 适合宝宝 底座很稳,18000,300,97,格力生活电器旗舰店
92000,1300,299,398,"艾美特FTW36T2-A,216706,6.5kg,中国,2小时以下,三档调节,正常风,无叶,无,机械式,塔扇",216706,艾美特（AIRMATE）,艾美特(Airmate) FTW36T2-A 塔扇/电风扇,还可以吧 使用方便 风扇不错 安装方便 质量不错 造型美观 风力很大 风很柔和 底座很稳 噪音很小,87000,3300,95,艾美特生活电器旗舰店
63000,700,199,289,"美的FS40-8B1,597426,7.84kg,中国大陆,2小时以下,三档调节,正常风,5片,1级,机械式,落地扇",597426,美的（Midea）,美的（Midea）FS40-8B1 五叶落地扇/电风扇,还可以吧 风扇不错 安装方便 质量不错 风力很大 噪音很小 使用方便 风很柔和 底座很稳 造型美观,60000,2100,96,美的两季品旗舰店
84000,1000,59,199,"澳柯玛KYT-25ND01,1370329,2.2kg,山东青岛,2小时以下,三档调节,正常风,5片,3级,机械式,转页扇，台扇",1370329,澳柯玛（AUCMA）,澳柯玛（AUCMA）KYT-25ND01 台式转页扇/电风扇,风扇不错 使用方便 质量不错 风很柔和 噪音很小 风力很大 底座很稳 造型美观 安全节能 安装方便 造型美观 风很柔和 风力很大 质量不错,81000,2300,96,澳柯玛两季品旗舰店
10000,100,249,359,"美的FS40-15QRW,1429749,8.7kg,中国大陆,2-8小时,三档调节,正常风、自然风、睡眠风,5片,1级,遥控式,落地扇",1429749,美的（Midea）,美的（Midea）FS40-15QRW 五叶遥控落地扇/电风扇,安装方便 风扇不错 遥控方便 风力很大 质量不错 使用方便 底座很稳 噪音很小 风很柔和 电机好 安装方便 睡眠风不错 颜色漂亮 广角送风 远程遥控 风扇不错 风力很大 造型美观 电机好,10000,100,97,美的两季品旗舰店
900,10,5690,5691,"DYSONHP03 白银,4840266,5.04kg,马来西亚,307988-01,8小时以上,五档以上,正常风、自然风、睡眠风,无叶,无,APP控制,落地扇，台扇，空气循环扇",4840266,DYSON,戴森(Dyson) HP03空气净化风扇/电风扇/落地扇 净化PM0.1和甲醛+强劲气流循环 凉风制暖智能合一 银白,风很柔和 噪音很小 远程遥控 造型美观 颜色漂亮 使用方便 广角送风 风扇不错 安装方便 安全节能 风很柔和 远程遥控 造型美观 遥控方便,900,10,98,戴森官方旗舰店
29000,200,129,299,"艾美特FBW32T2,1507669,2.5kg,中国,2小时以下,四档调节,正常风,5片,1级,机械式,转页扇，台扇",1507669,艾美特（AIRMATE）,艾美特(Airmate) FBW32T2 台式转页扇/电风扇,风扇不错 质量不错 噪音很小 风很柔和 使用方便 造型美观 颜色漂亮 安全节能 风力很大 底座很稳 颜色漂亮 风很柔和,28000,600,97,艾美特生活电器旗舰店
1500,10,980,1999,"英国QG(QG)AirCool无叶风扇电风扇冷暖空气循环扇家用电扇落地塔扇 冷暖,10626848028, ,3.8kg,中国大陆,2-8小时,五档以上,正常风、自然风,无叶,1级,遥控式,落地扇，塔扇，台扇，空气循环扇",10626848028,QG,英国QG(QG)AirCool无叶风扇电风扇冷暖空气循环扇家用电扇落地塔扇 冷暖,造型美观 质量不错 使用方便 噪音很小 风很柔和 安全节能 风扇不错 安装方便 遥控方便 底座很稳 质量不错 风很柔和 使用方便 安装方便,1400,30,97,QG生活电器旗舰店
42000,800,109,199,"澳柯玛FS-40T6,1095534,6.2kg,中国青岛,2-8小时,三档调节,正常风,5片,2级,机械式,落地扇",1095534,澳柯玛（AUCMA）,澳柯玛（AUCMA） FS-40T6 五叶AS扇叶机械电风扇/落地扇,安装方便 风扇不错 风力很大 质量不错 使用方便 底座很稳 噪音很小 风很柔和 电机好 声音小,39000,1400,95,澳柯玛两季品旗舰店
2300,30,659,999,"美的FZ10-16BRW,2396504,8.24kg,中国大陆,2-8小时,五档以上,正常风、自然风、睡眠风,无叶,无,遥控式,塔扇",2396504,美的（Midea）,美的（Midea）FZ10-16BRW 新品内旋式遥控塔扇/电风扇,造型美观 风很柔和 风扇不错 质量不错 底座很稳 遥控方便 颜色漂亮 使用方便 安装方便 睡眠风不错 使用方便 安装方便 风扇不错 底座很稳 造型美观,2300,40,97,美的两季品旗舰店
2800,20,369,459,"格力FDZ-40X65Bg7,3962523,8.42kg,中国大陆,8小时以上,五档以上,正常风、自然风、睡眠风,7片及以上,1级,遥控式,落地扇",3962523,格力（GREE）,格力（GREE）FDZ-40X65Bg7  七叶遥控落地扇/直流变频落地扇/电风扇,噪音很小 风很柔和 质量不错 造型美观 安全节能 安装方便 遥控方便 风扇不错 电机好 颜色漂亮 广角送风 噪音很小 安全节能 造型美观 电机好 噪音很小 造型美观 安全节能 扇网坚固 底座很稳 风力很大 安全节能 电机好 颜色漂亮 风很柔和,2700,50,97,格力生活电器旗舰店
10000,200,89.9,199,"长虹CFS-LD407,4593976,5.81kg,浙江宁波,无定时,三档调节,正常风,4片,3级,机械式,落地扇",4593976,长虹（CHANGHONG）,长虹（CHANGHONG）CFS-LD407 电风扇/落地扇/风扇,质量不错 安装方便 噪音很小 使用方便 风扇不错 风力很大 造型美观 风很柔和 颜色漂亮 底座很稳 安全节能 风力很大,10000,300,94,长虹两季品旗舰店
3100,40,269,319,"美的FZ10-17DW,4424990,4.44kg,中国大陆,2小时以下,三档调节,正常风,无叶,无,机械式,塔扇",4424990,美的（Midea）,美的（Midea）FZ10-17DW 新款精致居家塔扇/电风扇,造型美观 风扇不错 风很柔和 安装方便 质量不错 使用方便 噪音很小 底座很稳 风力很大 安全节能 电机好 安全节能 广角送风 颜色漂亮 适合宝宝 噪音很小 质量不错 造型美观 底座很稳 风很柔和 安装方便 噪音很小 颜色漂亮 风力很大 电机好 使用方便 风力很大 电机好 适合宝宝 扇网坚固,3000,60,97,美的两季品旗舰店
9800,200,109,299,"海尔FSJ4098B,4621642,6.64kg,中国大陆,2-8小时,三档调节,正常风,5片,2级,机械式,落地扇",4621642,海尔（Haier）,海尔（Haier）FSJ4098B 五叶机械式电风扇/落地扇,风力很大 风扇不错 安装方便 质量不错 底座很稳 使用方便 造型美观 扇网坚固 颜色漂亮 风很柔和 风很柔和 电机好 使用方便 质量不错 造型美观 质量不错 噪音很小 使用方便 风扇不错 底座很稳 扇网坚固 使用方便,9200,300,93,海尔两季品旗舰店
2000,10,549,2080,"【京东配送】欧麦斯Air-H5 无叶风扇 电风扇 落地 家用电扇 台扇塔扇 月光白,10437854366, ,4.0kg,2小时以下,无极变速,正常风、自然风,无叶,1级,遥控式,落地扇，塔扇，台扇，空气循环扇",10437854366,欧麦斯（OUMAISI）,【京东配送】欧麦斯Air-H5 无叶风扇 电风扇 落地 家用电扇 台扇塔扇 月光白,造型美观 安全节能 风力很大 风很柔和 底座很稳 噪音很小 适合宝宝 颜色漂亮 电机好 远程遥控 安装方便 使用方便 扇网坚固 质量不错 造型美观 质量不错 颜色漂亮 风很柔和 适合宝宝 使用方便 遥控方便,2000,30,98,欧麦斯旗舰店
23000,400,89,139,"HYUNDAIFS40-A002,2418704,5.58kg,中国大陆,2小时以下,三档调节,正常风,5片,2级,机械式,落地扇",2418704,HYUNDAI,HYUNDAI 现代大风量电风扇/机械落地扇/风扇FS40-A002,风扇不错 安装方便 质量不错 风力很大 使用方便 底座很稳 噪音很小 风很柔和 安全节能 造型美观 风扇不错,22000,700,95,韩国现代（HYUNDAI)两季品旗舰店
12000,100,89.9,199,"华生FS35-C401,4575098,5.48kg,广东,三档调节,正常风,5片,3级,机械式,落地扇",4575098,华生（Wahson）,华生（Wahson）FS35-C401 电风扇/落地扇/风扇,风扇不错 安装方便 质量不错 风力很大 使用方便 噪音很小 造型美观 底座很稳 风很柔和 颜色漂亮 安装方便 底座很稳 安装方便,11000,200,97,华生旗舰店
99000,1400,109,199,"先锋FS40-11G（货号：DD1112）,1399668,5.69kg,宁波慈溪,DD1112,无定时,三档调节,正常风,3片,2级,机械式,落地扇",1399668,先锋（SINGFUN）,先锋（Singfun）大风量电风扇/落地扇DD1112 ,风扇不错 安装方便 质量不错 风力很大 使用方便 噪音很小 底座很稳 风很柔和 电机好 声音小 电机好 广角送风,94000,2700,96,先锋两季品旗舰店
100,2,5190,5191,"DYSONTP03白银,4840262,5.82kg,马来西亚,308045-01,8小时以上,五档以上,正常风、自然风、睡眠风,无叶,无,APP控制,落地扇，塔扇，空气循环扇",4840262,DYSON,戴森(Dyson) TP03空气净化风扇/电风扇/塔扇 净化PM0.1和甲醛+强劲气流 循环空气 塔式智能 银白,适合宝宝 质量不错 安装方便 风扇不错 噪音很小 安全节能 远程遥控 广角送风 造型美观 扇网坚固 广角送风 适合宝宝 风扇不错 远程遥控 安全节能,100,2,96,戴森官方旗舰店
65000,1000,69,129,"康佳KF-25HY37,1093078,1.86kg,中国大陆,2小时以下,三档调节,正常风,5片,3级,机械式,转页扇，台扇",1093078,康佳（KONKA）,康佳（KONKA）电风扇/台扇/五风叶/五扇叶台式转页扇KF-25HY37,风扇不错 还可以吧 质量不错 风很柔和 噪音很小 风力很大 安全节能 造型美观 底座很稳 安装方便,62000,2300,94,康佳两季品旗舰店
7700,100,199,499,"澳柯玛FS-08M603(Y),2552698,3.8kg,中国青岛,2-8小时,三档调节,正常风、自然风、睡眠风,无叶,无,遥控式,塔扇",2552698,澳柯玛（AUCMA）,澳柯玛（AUCMA）FS-08M603(Y) 90度旋转遥控定时塔扇/电风扇,遥控方便 安装方便 造型美观 使用方便 风很柔和 质量不错 风扇不错 噪音很小 远程遥控 颜色漂亮,7400,200,95,澳柯玛两季品旗舰店
7200,70,109,159,"美的KYT25-17D,3864159,2.53kg,中国大陆,2小时以下,四档调节,正常风,5片,1级,机械式,转页扇",3864159,美的（Midea）,美的（Midea）KYT25-17D 家用台式转页扇/电风扇,风扇不错 噪音很小 质量不错 使用方便 风很柔和 造型美观 安全节能 风力很大 底座很稳 睡眠风不错 质量不错 安全节能 使用方便 风扇不错 底座很稳,7000,100,97,美的两季品旗舰店
6300,90,169,399,"先锋DLD-D5,3912031,7.23kg,浙江宁波,DLD-D5,2-8小时,三档调节,正常风、自然风、睡眠风,7片及以上,1级,遥控式,落地扇",3912031,先锋（SINGFUN）,先锋（Singfun）9叶遥控电风扇/落地扇DLD-D5 ,安装方便 遥控方便 质量不错 风扇不错 风力很大 造型美观 使用方便 颜色漂亮 远程遥控 噪音很小 风力很大 遥控方便 电机好 扇网坚固 质量不错 底座很稳 广角送风 质量不错 安装方便 使用方便 广角送风 安装方便 底座很稳 质量不错 风力很大 风力很大 安装方便 底座很稳 风扇不错 颜色漂亮 风很柔和 安全节能 风扇不错 风力很大 使用方便 安装方便 电机好,6100,100,97,先锋两季品旗舰店
18000,500,399,799,"艾美特FT47HR-W,2392868,6.58kg,中国,2-8小时,四档调节,正常风,无叶,无,遥控式,塔扇",2392868,艾美特（AIRMATE）,艾美特(Airmate) FT47HR-W 遥控塔扇/电风扇,安装方便 风很柔和 遥控方便 造型美观 使用方便 风扇不错 质量不错 噪音很小 睡眠风不错 远程遥控 造型美观 风很柔和 远程遥控,16000,1200,91,艾美特生活电器旗舰店
31000,600,119,269,"荣事达FD-40L92（货号：JD17Z）,2495894,6.22kg,中国大陆,JD17Z,2-8小时,三档调节,正常风,5片,2级,遥控式,落地扇",2495894,荣事达（Royalstar）,荣事达（Royalstar）遥控五风叶电风扇/落地扇/五扇叶可升降落地扇JD17Z,遥控方便 风扇不错 安装方便 质量不错 使用方便 风力很大 底座很稳 噪音很小 远程遥控 造型美观,29000,900,95,荣事达（Royalstar）两季品旗舰店
8000,100,188,298,"格力（GREE)FD-4009B 家用床头定时摇头遥控落地扇 节能立式办公宿舍静音电风扇,10143138838, ,8.6kg,FD-4009B,2-8小时,三档调节,正常风,3片,1级,遥控式,落地扇",10143138838,格力（GREE）,格力（GREE)FD-4009B 家用床头定时摇头遥控落地扇 节能立式办公宿舍静音电风扇,质量不错 遥控方便 噪音很小 安装方便 风扇不错 造型美观 底座很稳 远程遥控 风很柔和 风力很大 电机好 扇网坚固 遥控方便 风扇不错,7700,100,96,格力明达丰专卖店
1300,10,499,799,"艾美特SW164R-1,4533802,8.48kg,中国,8小时以上,五档调节,正常风、自然风、睡眠风,7片及以上,1级,遥控式,台扇",4533802,艾美特（AIRMATE）,艾美特(Airmate) SW164R-1 七叶遥控台立扇/电风扇,风很柔和 造型美观 噪音很小 安装方便 风扇不错 颜色漂亮 遥控方便 质量不错 底座很稳 使用方便 质量不错 远程遥控 噪音很小 安装方便 质量不错 安装方便 造型美观 睡眠风不错,1300,20,97,艾美特生活电器旗舰店
8000,100,269,299,"艾美特FW4035R,375147,4.14kg,中国,2-8小时,三档调节,正常风、自然风、睡眠风,5片,1级,遥控式,壁扇",375147,艾美特（AIRMATE）,艾美特(Airmate) FW4035R 五叶遥控壁扇/电风扇,遥控方便 质量不错 安装方便 风扇不错 风力很大 使用方便 噪音很小 风很柔和 电机好 底座很稳 噪音很小 广角送风 使用方便 风扇不错 使用方便 噪音很小,7700,200,96,艾美特生活电器旗舰店
7600,100,89,129,"长城FS-35（710）,4579848,5.62kg,中国大陆,710,2小时以下,三档调节,正常风,5片,3级,机械式,落地扇",4579848,长城（CHANGCHENG）,长城（CHANGCHENG）FS-35（710）电风扇/落地扇/炫酷五叶风扇/摇头电扇,安装方便 风扇不错 质量不错 使用方便 风力很大 风很柔和 噪音很小 底座很稳 颜色漂亮 造型美观 噪音很小 风很柔和 遥控方便 风很柔和 底座很稳 安全节能,7300,100,96,长城官方旗舰店
12000,100,79,139,"格力KYT-2501a,848318,2.47kg,中山,三档调节,正常风,5片,2级,机械式,转页扇，台扇",848318,格力（GREE）,格力（GREE） KYT-2501a 转页扇/电风扇,风扇不错 使用方便 噪音很小 质量不错 风很柔和 造型美观 风力很大 安全节能 颜色漂亮 底座很稳,12000,300,96,格力生活电器旗舰店
5300,50,239,269,"美的（Midea）FS40-13GR 大风量电风扇/落地扇/智能家用电风扇/遥控风扇,10913792973, ,5.5kg,FS40-13GR,2-8小时,三档调节,正常风、自然风、睡眠风,5片,1级,遥控式,落地扇",10913792973,美的（Midea）,美的（Midea）FS40-13GR 大风量电风扇/落地扇/智能家用电风扇/遥控风扇,质量不错 风扇不错 风力很大 噪音很小 使用方便 安装方便 造型美观 遥控方便 安全节能 底座很稳 造型美观 颜色漂亮 风扇不错 风很柔和 质量不错 噪音很小 安装方便 风扇不错 风很柔和 使用方便,5200,50,98,美的绿灯侠专卖店
4900,80,698,769,"艾美特FTW50BR,1083232,10.24kg,中国,8小时以上,无极变速,正常风、自然风、睡眠风,无叶,无,遥控式,塔扇",1083232,艾美特（AIRMATE）,艾美特(Airmate) FTW50BR 直流变频遥控塔扇/电风扇,造型美观 还可以吧 风很柔和 使用方便 质量不错 遥控方便 风扇不错 噪音很小 睡眠风不错 远程遥控,4600,100,94,艾美特生活电器旗舰店
16000,200,298,339,"艾美特FBW09RS,216696,6.0kg,中国,2-8小时,四档调节,正常风,5片,1级,遥控式,转页扇",216696,艾美特（AIRMATE）,艾美特(Airmate) FBW09RS 升降遥控转页扇/电风扇,遥控方便 安装方便 质量不错 使用方便 风扇不错 噪音很小 风力很大 风很柔和 底座很稳 睡眠风不错 安装方便 遥控方便 噪音很小,15000,500,94,艾美特生活电器旗舰店
2000,10,399,499,"美的FS40-15CR,3864157,10.94kg,中国大陆,8小时以上,五档以上,正常风、自然风、睡眠风,5片,1级,遥控式,落地扇",3864157,美的（Midea）,美的（Midea）FS40-15CR 五叶变频遥控落地扇/电风扇,噪音很小 造型美观 安装方便 遥控方便 风很柔和 质量不错 风扇不错 安全节能 底座很稳 颜色漂亮 遥控方便 安全节能 底座很稳 安装方便 风很柔和 造型美观 安装方便 风很柔和 遥控方便 噪音很小 质量不错 遥控方便 睡眠风不错 噪音很小 安全节能 电机好 风很柔和 广角送风 遥控方便 造型美观,1900,20,98,美的两季品旗舰店
20000,300,58,79,"澳柯玛FT-18G613,2538905,2.9kg,中国青岛,无定时,二档调节,正常风,3片,无,机械式,台扇，壁扇，风扇伴侣",2538905,澳柯玛（AUCMA）,澳柯玛（AUCMA）FT-18G613 办公 学习迷你夹扇 台扇/电风扇,风扇不错 风力很大 使用方便 安装方便 质量不错 噪音很小 造型美观 颜色漂亮 底座很稳 扇网坚固 风扇不错 噪音很小,19000,500,95,澳柯玛两季品旗舰店
3500,40,329,399,"美的（Midea）FZ10-15BRW 塔扇无叶风扇电风扇遥控家用静音立式风扇,10988055671, ,4.1kg,中国大陆,FZ10-15BRW,2-8小时,三档调节,正常风、自然风、睡眠风,无叶,1级,遥控式,塔扇",10988055671,美的（Midea）,美的（Midea）FZ10-15BRW 塔扇无叶风扇电风扇遥控家用静音立式风扇,噪音很小 风很柔和 造型美观 安全节能 风力很大 底座很稳 颜色漂亮 电机好 扇网坚固 适合宝宝,3400,30,98,美的环境电器旗舰店
