p_Name,shop_name,ProductID,price,PreferentialPrice,CommentCount,GoodRateShow,GoodCount,GeneralCount,PoorCount,brand,keyword,type,X_type
德尔玛（Deerma） DX128C 家用 吸尘器 迷你 手持小型 推杆吸尘器 有效除螨,德尔玛官方旗舰店,1042114,298.00,99.00,140000,97,140000,3200,900,德尔玛（Deerma）,使用方便 吸力很大 电源线够长 吸尘器不错 吸尘很干净 质量不错 打扫干净 东西不错 功率大 吸头很多 配件齐全 吸尘很干净 打扫干净 使用方便 电源线够长 电源线够长 小巧轻便 小巧轻便 吸尘器不错,"德尔玛DX128C,1042114,1.82kg,广东佛山,地板，地毯，沙发,立式/手持吸尘器,电源式（5米以下）,500w-999w,地面吸头，扁嘴吸头，毛刷吸头",地面吸头，扁嘴吸头，毛刷吸头
小狗（puppy）干湿吹三用大功率桶式商用家用吸尘器D-807,小狗电器自营旗舰店,3694111,399.00,399.00,13000,97,13000,300,100,小狗（puppy）,吸力很大 电源线够长 吸尘器不错 吸尘很干净 功率大 质量不错 外观漂亮 配件齐全 打扫干净 使用方便 配件齐全 吸头很多 外观漂亮 功率大 吸尘很干净,"小狗807,3694111,9.38kg,江苏省-苏州市,地板，地毯，瓷砖，厨房，沙发，汽车，酒店，工业,水洗尘杯，水洗滤网，干湿两用,桶式吸尘器,电源式（10米以上）,1400w-1799w,地面吸头，扁嘴吸头，毛刷吸头，其他",地面吸头，扁嘴吸头，毛刷吸头，其他
海尔（Haier）吸尘器 HC-T2103A 干湿吹三用 桶式家用 大功率大吸力,海尔吸尘器旗舰店,2155793,299.00,298.00,20000,95,19000,600,300,海尔（Haier）,吸力很大 吸尘器不错 使用方便 质量不错 吸尘很干净 电源线够长 功率大 打扫干净 吸头很多 外观漂亮,"海尔HC-T2103A,2155793,6.27kg,中国大陆,地板，地毯，瓷砖，厨房，沙发,水洗尘杯，水洗滤网，干湿两用,桶式吸尘器,电源式（5米-10米）,1000w-1399w,地面吸头，缝隙吸头，扁嘴吸头，小吸头",地面吸头，缝隙吸头，扁嘴吸头，小吸头
莱克（LEXY）除螨仪小型手持床铺除螨机家用吸尘器VC-B501,莱克旗舰店,1419129,999.00,649.00,8000,99,7900,50,20,莱克（LEXY）,吸力很大 电源线够长 使用方便 吸尘很干净 吸尘器不错 质量不错 打扫干净 功率大 噪音小 东西不错 使用方便 配件齐全 尘杯容量大 吸力很大 吸尘器不错 功率大 打扫干净 尘杯容量大 吸尘很干净 吸力很大 功率大 吸尘器不错 电源线够长,"莱克VC-B501,1419129,3.48kg,中国大陆,沙发，床铺,水洗尘杯，水洗滤网，旋风过滤，除螨,除螨仪",none
美的（Midea）吸尘器SC861A家用手持立式吸尘器二合一强劲吸力,美的吸尘器旗舰店,608883,299.00,109.00,78000,97,75000,1700,500,美的（Midea）,使用方便 电源线够长 吸力很大 吸尘器不错 质量不错 吸尘很干净 打扫干净 东西不错 吸头很多 功率大,"美的SC861A,608883,2.3kg,江苏,地板，地毯，沙发，床铺,水洗尘杯,立式/手持吸尘器,电源式（5米-10米）,500W以下,床褥沙发吸头，地面吸头，扁嘴吸头",床褥沙发吸头，地面吸头，扁嘴吸头
莱克吸尘器 VC-SP1001D-10家用无线手持吸尘器车用,莱克旗舰店,1120207,1599.00,759.00,10000,99,10000,100,40,莱克（LEXY）,使用方便 吸尘器不错 质量不错 吸尘很干净 打扫干净 外观漂亮 噪音小 吸力很大 小巧轻便 功率大,"莱克VC-SP1001D-10,1120207,5.26kg,中国大陆,地板，地毯，瓷砖,水洗尘杯，水洗滤网,无线吸尘器",none
飞利浦（PHILIPS）吸尘器FC5833/81家用无尘袋大功率（薄荷绿）,飞利浦品牌旗舰店,2267834,1000.00,899.00,8200,98,8000,100,90,飞利浦（PHILIPS）,吸力很大 吸尘很干净 吸尘器不错 外观漂亮 质量不错 使用方便 打扫干净 电源线够长 功率大 吸头很多 电源线够长 干湿两用 功率大 质量不错 防撞保护 吸力持久,"飞利浦FC5833/81,2267834,8.06kg,中国大陆,地板，地毯，瓷砖，厨房，沙发，床铺,水洗尘杯，水洗滤网，旋风过滤,卧式吸尘器,电源式（5米-10米）,1400w-1799w,床褥沙发吸头，地面吸头，缝隙吸头，毛刷吸头，小吸头",床褥沙发吸头，地面吸头，缝隙吸头，毛刷吸头，小吸头
杰诺吸尘器干湿两用大功率工业大型桶式吸尘器 酒店宾馆地毯洗车场工厂车间商用吸尘器50L,杰诺官方旗舰店,1055989295,1200.00,599.00,8200,97,7900,100,100,杰诺,吸力很大 吸尘器不错 吸尘很干净 功率大 打扫干净 还可以吧 使用方便 质量不错 配件齐全 电源线够长 吸力很大 打扫干净 东西不错 功率大 质量不错 吸力很大 质量不错 吸尘器不错 电源线够长 噪音小 吸头很多 配件齐全 打扫干净 外观漂亮 质量不错 吸尘很干净,"杰诺吸尘器干湿两用大功率工业大型桶式吸尘器 酒店宾馆地毯洗车场工厂车间商用吸尘器50L,1055989295, ,14.48kg,202-50L升级版,地板，地毯，瓷砖，酒店，工业,HEPA滤网（HEPA13及以上），水洗滤网，干湿两用,桶式吸尘器,电源式（5米-10米）,1800w及以上,地面吸头，缝隙吸头，扁嘴吸头，毛刷吸头，其他",地面吸头，缝隙吸头，扁嘴吸头，毛刷吸头，其他
飞利浦（PHILIPS）吸尘器FC8471/81家用无尘袋大功率（星空蓝）,飞利浦品牌旗舰店,1121698,599.00,589.00,27000,97,27000,500,200,飞利浦（PHILIPS）,吸力很大 吸尘器不错 吸尘很干净 电源线够长 质量不错 使用方便 打扫干净 功率大 外观漂亮 小巧轻便 噪音小 配件齐全 电源线够长 吸尘很干净 质量不错,"飞利浦FC8471/81,1121698,6.74kg,中国大陆,地板，地毯，瓷砖，厨房，沙发，床铺,水洗尘杯，水洗滤网，旋风过滤,卧式吸尘器,电源式（5米-10米）,1400w-1799w,地面吸头，缝隙吸头，小吸头",地面吸头，缝隙吸头，小吸头
德尔玛（Deerma）CM300 紫外线除螨仪除螨机 手持吸尘器家用,德尔玛官方旗舰店,3327010,299.00,199.00,20000,97,19000,300,100,德尔玛（Deerma）,小巧轻便 外观漂亮 使用方便 电源线够长 吸尘器不错 质量不错 吸力很大 吸尘很干净 打扫干净 功率大 易收纳 打扫干净 电源线够长 质量不错 吸力持久 使用方便 功率大 质量不错 刷头多样 吸头很多 配件齐全 外观漂亮 吸力很大,"德尔玛CM300,3327010,1.75kg,中国大陆,床铺,除螨,除螨仪,电源式（5米以下）,500W以下,其他",其他
美的（Midea）吸尘器C3-L143C家用无耗材卧式吸尘器,美的吸尘器旗舰店,1690674,499.00,299.00,26000,98,25000,300,200,美的（Midea）,吸力很大 吸尘器不错 外观漂亮 吸尘很干净 使用方便 质量不错 电源线够长 打扫干净 小巧轻便 配件齐全,"美的C3-L143C,1690674,7.2kg,中国大陆,地板，地毯，瓷砖，厨房,水洗尘杯，旋风过滤,卧式吸尘器,电源式（5米-10米）,1000w-1399w,地面吸头，扁嘴吸头，毛刷吸头",地面吸头，扁嘴吸头，毛刷吸头
海尔（Haier）ZB1205G 无线充电家用吸尘器 手持推杆二合一 香槟金,海尔吸尘器旗舰店,4112704,899.00,799.00,2000,96,1900,50,20,海尔（Haier）,使用方便 小巧轻便 外观漂亮 打扫干净 配件齐全 吸力持久 易收纳 吸尘器不错 质量不错 吸力很大,"海尔ZB1205G,4112704,3.5kg,中国大陆,地板，地毯，瓷砖，沙发，汽车,水洗尘杯，水洗滤网,电动吸头，扁嘴吸头，毛刷吸头,充电式（无线）,500W以下",电动吸头，扁嘴吸头，毛刷吸头
博世（BOSCH）吸尘器无线手持立式75分钟续航静音车载家用BCH65PETCN沸点红,博世生活电器旗舰店,3766667,4399.00,3999.00,200,97,200,2,4,博世（BOSCH）,外观漂亮 配件齐全 吸力很大 打扫干净 吸尘器不错 使用方便 吸尘很干净 节能电机 吸力持久 功率大 刷头多样 尘杯容量大 外观漂亮 配件齐全 易收纳 外观漂亮 刷头多样 小巧轻便 吸头很多 噪音小 刷头多样 吸尘很干净 吸力很大 质量不错 使用方便 刷头多样 配件齐全 功率大,"博世BCH65PETCN,3766667,6.1kg,中国大陆,地板，地毯，瓷砖，厨房，沙发，床铺，汽车，酒店，工业,水洗尘杯，水洗滤网,无线吸尘器,充电式（无线）,床褥沙发吸头，缝隙吸头，扁嘴吸头",床褥沙发吸头，缝隙吸头，扁嘴吸头
海尔（Haier）吸尘器 ZL601A 家用 立式 便携式 手持推杆,海尔吸尘器旗舰店,1952932,169.00,129.00,41000,97,40000,700,200,海尔（Haier）,使用方便 电源线够长 吸尘器不错 吸力很大 吸尘很干净 小巧轻便 质量不错 打扫干净 功率大 外观漂亮 外观漂亮 易收纳,"海尔ZL601A,1952932,2.1kg,中国大陆,地板，地毯，瓷砖，沙发,水洗尘杯，水洗滤网,立式/手持吸尘器,电源式（5米-10米）,500w-999w,地面吸头，扁嘴吸头，毛刷吸头",地面吸头，扁嘴吸头，毛刷吸头
莱克（LEXY）吸尘器C53家用除螨 静音 大吸力 无耗材 能擦地板  C3203-3 玫瑰金,莱克官方旗舰店,1576389515,899.00,849.00,8600,100,8500,40,20,莱克（LEXY）,吸尘很干净 使用方便 质量不错 吸力很大 噪音小 吸尘器不错 打扫干净 功率大 电源线够长 外观漂亮,"莱克（LEXY）吸尘器C53家用除螨 静音 大吸力 无耗材 能擦地板  C3203-3 玫瑰金,1576389515, ,7.2kg,1743000,地板，地毯，瓷砖，厨房，沙发，床铺，汽车,卧式吸尘器,电源式（5米-10米）,1000w-1399w,床褥沙发吸头，地面吸头，缝隙吸头，扁嘴吸头，毛刷吸头",床褥沙发吸头，地面吸头，缝隙吸头，扁嘴吸头，毛刷吸头
海尔（Haier）吸尘器 ZB401G 家用小型 床铺除螨机 紫外线除螨仪,海尔吸尘器旗舰店,1095328,299.00,299.00,26000,97,26000,400,100,海尔（Haier）,使用方便 吸尘很干净 吸尘器不错 电源线够长 质量不错 吸力很大 打扫干净 东西不错 功率大 外观漂亮 吸尘器不错 外观漂亮 吸尘很干净 尘杯容量大 使用方便 吸尘器不错 吸力很大,"海尔ZB401G,1095328,2.815kg,中国大陆,沙发，床铺,除螨仪",none
美诺（Miele）SGDA1-08 C3德国原装进口 家用卧室真空吸尘器 功率高达2000瓦（海军蓝）,德国美诺Miele官方旗舰店,5048546,2900.00,2899.00,70,97,70,0,2,美诺（MIELE）,吸力很大 配件齐全 使用方便 质量不错 吸尘很干净 噪音小 打扫干净 电源线够长 易收纳 尘杯容量大 配件齐全 电源线够长 噪音小 吸力很大 吸尘很干净,"美诺SGDA1-08,5048546,9.0kg,德国,地板，地毯，瓷砖,卧式吸尘器",none
【京东配送】原装进口karcher德国凯驰集团商用除螨 静音 干湿两用吸尘器家用WD3 新品,凯驰专卖店,1703366429,1899.00,699.00,2300,98,2300,10,10,凯驰（karcher）,功率大 吸力很大 噪音小 打扫干净 吸尘很干净 质量不错 电源线够长 吸尘器不错 使用方便 东西不错 吸尘很干净 东西不错 吸尘器不错 噪音小,"【京东配送】原装进口karcher德国凯驰集团商用除螨 静音 干湿两用吸尘器家用WD3 新品,1703366429, ,5.4kg,WD3,地板，地毯，瓷砖，厨房，沙发，床铺，汽车，酒店，工业,拖地功能，水洗滤网，一键断发，吸拖一体，尘袋式，干湿两用，除螨,桶式吸尘器,电源式（5米以下）,1000w-1399w,床褥沙发吸头，地面吸头，缝隙吸头，扁嘴吸头，毛刷吸头，小吸头，拖地附件，其他",床褥沙发吸头，地面吸头，缝隙吸头，扁嘴吸头，毛刷吸头，小吸头，拖地附件，其他
美的（Midea）吸尘器U5-L021C手持推杆二合一无线设计 家用立式便携 无耗材,美的吸尘器旗舰店,1859014,899.00,849.00,1100,97,1100,20,10,美的（Midea）,使用方便 质量不错 吸尘器不错 吸尘很干净 外观漂亮 打扫干净 小巧轻便 易收纳 噪音小 吸力持久 值得推荐 吸尘很干净 易收纳 噪音小,"美的U5-L021C,1859014,5.18kg,中国大陆,地板，地毯，瓷砖，沙发，汽车,水洗尘杯，水洗滤网,无线吸尘器,充电式（无线）,500W以下,电动吸头，扁嘴吸头",电动吸头，扁嘴吸头
莱克（LEXY）吸尘器家用 无线手持立式吸尘机除螨多功能 魔洁 M7Pro 咖啡色,莱克官方旗舰店,11620819882,3999.00,3999.00,300,100,300,0,0,莱克（LEXY）,使用方便 吸尘很干净 吸尘器不错 吸力持久 打扫干净 吸力很大 质量不错 外观漂亮 噪音小 小巧轻便 质量不错 吸力很大 打扫干净 功率大 不易缠发 吸尘很干净 质量不错 打扫干净,"莱克（LEXY）吸尘器家用 无线手持立式吸尘机除螨多功能 魔洁 M7Pro 咖啡色,11620819882, ,5.5kg,100L0006E,地板，地毯，瓷砖，厨房，沙发，床铺，汽车,拖地功能，水洗尘杯，水洗滤网，除螨,立式/手持吸尘器,充电式（无线）,500W以下,电动吸头，床褥沙发吸头，地面吸头，缝隙吸头，扁嘴吸头，毛刷吸头",电动吸头，床褥沙发吸头，地面吸头，缝隙吸头，扁嘴吸头，毛刷吸头
dostyle吸尘器家用无线充电立式手持吸尘器VC201可车用车载,dostyle小家电旗舰店,1140881,999.00,399.00,5100,95,4900,100,90,dostyle,使用方便 吸尘器不错 质量不错 吸尘很干净 打扫干净 东西不错 吸力很大 噪音小 吸头很多 功率大,"dostyleVC201,1140881,4.16kg,中国大陆",none
宝家丽 吸尘器 GY-306旋风（tornado）家用商用干湿吹三用大功率桶式吸尘器,宝家丽官方旗舰店,2302887,299.00,199.00,7400,95,7100,200,100,宝家丽,吸力很大 使用方便 吸尘器不错 吸尘很干净 电源线够长 质量不错 打扫干净 小巧轻便 外观漂亮 尘杯容量大,"宝家丽GY-306,2302887,5.5kg,中国大陆,地板，地毯，瓷砖，厨房，沙发，床铺，汽车，酒店，工业,拖地功能，水洗尘杯，水洗滤网，旋风过滤，尘袋式，干湿两用,桶式吸尘器,电源式（5米-10米）,1000w-1399w,地面吸头，缝隙吸头，扁嘴吸头，毛刷吸头，小吸头，其他",地面吸头，缝隙吸头，扁嘴吸头，毛刷吸头，小吸头，其他
dostyle吸尘器家用无线充电立式手持吸尘器VC203可车用车载（长续航版）,dostyle小家电旗舰店,2016475,999.00,699.00,1100,96,1000,30,7,dostyle,外观漂亮 使用方便 质量不错 吸尘器不错 小巧轻便 打扫干净 吸尘很干净 吸力持久 吸力很大 配件齐全,"dostyleVC203,2016475,4.66kg,中国大陆",none
瑞卡富(Raycop)除螨仪手持式除螨吸尘器进口除螨机家用床上杀菌高级床褥净化吸尘器(珍珠白)RS-300CWH,瑞卡富旗舰店,1084115,2999.00,2999.00,700,99,700,6,2,瑞卡富（raycop）,吸尘很干净 吸力很大 还可以吧 电源线够长 吸尘器不错 东西不错 功率大 打扫干净 质量不错 使用方便 吸尘很干净 电源线够长,"瑞卡富RS-300CWH,1084115,5.38kg,韩国,地毯，沙发，床铺,HEPA滤网（HEPA13及以上），除螨,除螨仪,电源式（5米-10米）,500W以下,其他",其他
志高（CHIGO）工业吸尘器大功率强力车用商用干湿两用大型桶式工厂用吸尘机50L 1600W 50L,雅柯专营店,11557408932,1999.00,799.00,700,100,700,1,1,志高（CHIGO）,质量不错 打扫干净 外观漂亮 吸尘器不错 吸力持久 节能电机 配件齐全 使用方便 吸尘很干净 吸力很大 吸尘很干净 打扫干净 节能电机 刷头多样 吸力很大 配件齐全 吸头很多 使用方便 吸尘器不错 易收纳 噪音小 刷头多样 配件齐全 不易缠发 吸头很多 打扫干净 吸尘很干净 吸尘器不错 功率大 电源线够长 尘杯容量大 吸力持久 配件齐全 使用方便 吸尘器不错 配件齐全 外观漂亮 吸尘器不错 质量不错 质量不错 功率大 吸力很大,"志高（CHIGO）工业吸尘器大功率强力车用商用干湿两用大型桶式工厂用吸尘机50L 1600W 50L,11557408932, ,12.0kg,地板，地毯，瓷砖，厨房，沙发，床铺，汽车，酒店，工业,桶式吸尘器,电源式（5米-10米）,1400w-1799w,床褥沙发吸头，地面吸头，缝隙吸头，扁嘴吸头，毛刷吸头，小吸头，拖地附件",床褥沙发吸头，地面吸头，缝隙吸头，扁嘴吸头，毛刷吸头，小吸头，拖地附件
德尔玛（Deerma）CM400 紫外线除螨仪除螨机 手持吸尘器家用,德尔玛官方旗舰店,3478156,199.00,199.00,1600,97,1500,30,10,德尔玛（Deerma）,使用方便 小巧轻便 吸尘器不错 电源线够长 质量不错 外观漂亮 吸尘很干净 吸力很大 打扫干净 功率大 易收纳 不易缠发 打扫干净 噪音小 外观漂亮 使用方便 打扫干净 吸力很大 外观漂亮 噪音小 质量不错 吸力持久 噪音小 使用方便 质量不错 易收纳 质量不错 打扫干净 打扫干净 使用方便 噪音小,"德尔玛CM400,3478156,1.75kg,中国大陆,沙发，床铺,水洗尘杯，除螨,除螨仪,电源式（5米以下）,500W以下,床褥沙发吸头",床褥沙发吸头
志高（CHIGO）车用吸尘器家用小型手持式强力大功率无耗材吸尘机大容量25L 1600W 25L,雅柯专营店,11557796381,1799.00,559.00,900,100,900,0,0,志高（CHIGO）,质量不错 吸尘器不错 吸力很大 吸尘很干净 吸力持久 打扫干净 使用方便 外观漂亮 吸头很多 小巧轻便 配件齐全 刷头多样 质量不错 吸尘很干净 吸力很大 使用方便 打扫干净 配件齐全 吸力很大 不易缠发 吸力很大 外观漂亮 质量不错 吸尘器不错 尘杯容量大 质量不错 吸力持久 吸力很大 打扫干净 外观漂亮 质量不错 吸尘器不错 功率大,"志高（CHIGO）车用吸尘器家用小型手持式强力大功率无耗材吸尘机大容量25L 1600W 25L,11557796381, ,6.5kg,地板，地毯，瓷砖，沙发，床铺，汽车，酒店,桶式吸尘器,电源式（5米-10米）,1400w-1799w,床褥沙发吸头，地面吸头，缝隙吸头，扁嘴吸头，毛刷吸头，小吸头，拖地附件",床褥沙发吸头，地面吸头，缝隙吸头，扁嘴吸头，毛刷吸头，小吸头，拖地附件
杰诺 水过滤干湿两用大功率桶式小型吸尘器 家用低音商用地毯装修筒式吸水吸尘机508-20L,杰诺官方旗舰店,1067543518,800.00,599.00,2900,98,2900,20,10,杰诺,吸尘器不错 质量不错 噪音小 功率大 吸尘很干净 使用方便 打扫干净 吸力很大 电源线够长 吸头很多 使用方便 吸尘很干净 东西不错 质量不错,"杰诺 水过滤干湿两用大功率桶式小型吸尘器 家用低音商用地毯装修筒式吸水吸尘机508-20L,1067543518, ,10.0kg,508-20L-B,地板，地毯，瓷砖，厨房，沙发，床铺，汽车，酒店,拖地功能，吸拖一体，干湿两用，除螨,桶式吸尘器,电源式（5米-10米）,1000w-1399w,床褥沙发吸头，地面吸头，缝隙吸头，扁嘴吸头，小吸头，拖地附件，其他",床褥沙发吸头，地面吸头，缝隙吸头，扁嘴吸头，小吸头，拖地附件，其他
德国karcher 无耗材吸尘器VC3 PLUS 家用静音,Karcher自营官方旗舰店,4082021,999.00,799.00,400,99,400,0,3,凯驰（karcher）,外观漂亮 质量不错 小巧轻便 吸力很大 吸尘很干净 噪音小 吸尘器不错 电源线够长 刷头多样 使用方便 电源线够长 打扫干净 吸力很大,"凯驰VC3 PLUS,4082021,8.2kg,中国大陆,地板，地毯，瓷砖，厨房，沙发，床铺，汽车，酒店,EPA滤网（EPA12及以下），水洗尘杯，水洗滤网，旋风过滤，除螨,卧式吸尘器,电源式（5米-10米）,1000w-1399w,床褥沙发吸头，地面吸头，缝隙吸头，毛刷吸头，小吸头",床褥沙发吸头，地面吸头，缝隙吸头，毛刷吸头，小吸头
志高（CHIGO）车用吸尘器家用强力大功率手持式强力小型干湿两用吸尘机35L 1600W 35L,雅柯专营店,11557895164,1899.00,659.00,600,100,600,0,0,志高（CHIGO）,质量不错 打扫干净 吸尘器不错 小巧轻便 使用方便 外观漂亮 吸力很大 吸尘很干净 吸头很多 节能电机 易收纳 吸力很大 配件齐全 刷头多样 吸尘器不错 使用方便 打扫干净 外观漂亮 功率大 噪音小 质量不错 小巧轻便 吸力很大 功率大 配件齐全 吸尘很干净 易收纳 电源线够长 功率大 尘杯容量大 配件齐全 吸尘很干净 打扫干净 刷头多样 吸力很大 噪音小 打扫干净 质量不错 吸尘很干净 使用方便 吸力持久,"志高（CHIGO）车用吸尘器家用强力大功率手持式强力小型干湿两用吸尘机35L 1600W 35L,11557895164, ,8.5kg,地板，地毯，瓷砖，沙发，床铺，汽车，酒店,桶式吸尘器,电源式（5米-10米）,1400w-1799w,床褥沙发吸头，地面吸头，缝隙吸头，扁嘴吸头，毛刷吸头，小吸头，拖地附件",床褥沙发吸头，地面吸头，缝隙吸头，扁嘴吸头，毛刷吸头，小吸头，拖地附件
