title,ask,answer,content,time_now,user,href
,,,逗我们那？,2017/10/20 22:57,pc晓飞,
,,逗我们那？,哪逗你了?不好还是觉得你太有钱了。要买更贵的?,2017/10/21 9:11,mylovepzq,
,,,这个松下洗碗机太小没法洗锅，也没有软化水装置，不适合水硬度高的地区。买台国产的12套也就3000多元。,2017/10/21 10:34,pesticide,
,,,西门子的13套的也才3000多点，十一京东才3100。用得着，锅也洗吗?我家是用这个松下的。锅每做一个菜都要洗的。,2017/10/21 11:56,mylovepzq,
,,,"如果空间不够 直接博西6套机 和这个价格差不多 比这个能装,如果有空间 12套,这种机器太鸡肋不建议",2017/10/21 12:02,Scrooge,
,,这个松下洗碗机太小没法洗锅，也没有软化水装置，不适合水硬度高的地区。买台国产的12套也就3000多元。,"博西德产12套也就4000不到,所以洗碗机,博西 价格超过一万 美诺,其他选择不用看了",2017/10/21 12:03,Scrooge,
,,,4000左右博西纯进口不好吗？我家就是西班牙产西门子好像3900还是4900来着，能装，洗的干净，刚出来滚烫的。桌上式………比较适合老房子或者是出租屋，还有小户型？不过小户型还要弄这一个大家伙占位置是不是又……,2017/10/21 12:54,472708235,
,,,非常适合台上小空间摆放，机器设计漂亮。日系风格，质量也靠谱，建议用日本国内的洗碗粉，包含软化和亮光功能。,2017/10/21 13:13,yufuming2004,
,,,自己动手洗,2017/10/22 0:44,STRIKER999,
,,,博西为什么淘宝查不到,2017/10/22 9:04,mylovepzq,
,,,"我家空间很大。实际使用面积有175平。小县城的房便宜。,12套，13套的很大的。和洗衣机一样大。橱柜下面放不下。,这个机器都很大。图上看起来好小。实际有一个电热油汀那么高大。,差不多的价格，可以选西门子的8套机。13套机。或美的。美的京东十一才2200左右能买到(凑单88折加优惠卷)，,也有朋友用西门子和美的的。西门子低端机13套的小区就有人在用。闲置了。不带烘干，洗完碗后机器里面有水，碗湿湿的。,我买这个机考虑了整整一个月。仔细看评价。对比才买的。这个机评价非常好。全网我就看到这个的评价，还有西门子13套机的评价非常好。,所以选的这个。",2017/10/22 9:22,mylovepzq,
,,"我家空间很大。实际使用面积有175平。小县城的房便宜。,12套，13套的很大的。和洗衣机一样大。橱柜下面放 ...","只能说你用洗碗机的经验不足！,洗碗机，价格相同的话，尽量选大的！,洗碗机的烘干功能，是给那些把碗放到机器里就去上班的人用的。如果每次洗碗机工作完毕，家里都有人的话，洗涤完毕，把洗碗机门打开，等温度降下来，碗不烫了，而且都是干的！这样用洗碗机，节约时间，而且省电！,我2002年，就用洗碗机了。洗碗机，是否好，一是品质过硬耐用，二是噪音低。,你介绍的这个松下洗碗机，如果不是噪音低的话，容量这么小，价格还这么贵，实在不值得推荐！,我家洗碗机是海尔的，已经十几年了，有消毒、烘干功能，但我从来不用。洗碗的时候，高温高压水流，温度可以达到90度，不启动臭氧消毒功能，也比手洗的干净。只要洗涤完毕，及时把门打开就OK！！,但我家的洗碗机，工作的时候声音大，跟以前的老波轮洗衣机声音差不多大，所以个人觉得这是我用的洗碗机最不如意的地方。,你介绍的日本洗碗机，只要不是噪音低，没有任何值得夸耀的地方！",2017/10/22 10:30,yyy9,
,,哪逗你了?不好还是觉得你太有钱了。要买更贵的?,"我只会修松下洗碗机！而且是专业维修松下洗碗机。,博世，西门子反而不会修。",2017/10/22 10:37,雪军舒逸,
,,"只能说你用洗碗机的经验不足！,洗碗机，价格相同的话，尽量选大的！,洗碗机的烘干功能，是给那些 ...","海尔还不如美的，美的不如西门子，这是松下旗舰机，评价很好。,其它机是70度，这个是80度更高温。我主要是更相信松下这个牌子。而且这不是入门机。入门机才2000",2017/10/27 14:30,mylovepzq,
,,"我只会修松下洗碗机！而且是专业维修松下洗碗机。,博世，西门子反而不会修。",你可能是修松下的以为松下不好，松下的品控不会比西门子的差。技术也不会比西门子的差的。松下大洗碗机太贵了，最少的6000多，西门子的13套的便宜的才3200，贵了一倍的。贵就有它的道理的。,2017/10/27 14:31,mylovepzq,
松下洗碗机环保导航生物力量除菌NP -散列8 - T静音化设计,"洗1.jpg,(35.41 KB, 下载次数: 0),下载附件,2017-10-27 22:21 上传,松下洗碗机环保导航生物力量除菌NP -散列8 - T静音化设计,洗3.jpg,(26.01 KB, 下载次数: 0),下载附件,2017-10-27 22:21 上传,洗4.jpg,(39.52 KB, 下载次数: 0),下载附件,2017-10-27 22:21 上传,洗5.jpg,(44.41 KB, 下载次数: 0),下载附件,2017-10-27 22:21 上传",,,2017/10/27 22:22,GM654321,https://www.jdbbs.com/thread-8374260-1-1.html
松下智能坐便盖 新风系统 浴霸 洗碗机 洗衣机安装留尺寸问题尽管来咨询,"几年前万人空巷都来参加老姜组织的松下等离子团购的辉煌已经不在，老姜对松下仍是不离不弃，,不仅是有感情，更是看中松下的品质，真的是没话说！,这几年做了松下的厨电和电工代理商，品类也是开拓了不少，对于很多朋友在家装上会有些困扰问题,特此在这里开个贴，接受朋友们对松下产品的咨询问题，老姜我知无不言，尽所能解答大家的问题",,,2016/5/13 11:02,上海松下老姜,https://www.jdbbs.com/thread-6241392-1-1.html
,,,有网店吗，请pm个链接,2016/5/13 13:09,烟鱼,
,,,楼上给你了，大家有什么问题尽管咨询，老姜尽量给朋友们家装添砖加瓦啊,2016/5/13 13:25,上海松下老姜,
,,,麻烦PM 25ZJD1C 单机价格,2016/5/13 15:39,loveshun,
,,,发了，家装技术性问题也可以咨询哦,2016/5/13 16:58,上海松下老姜,
,,,支持一下,2016/5/13 18:36,LJJET,
,,,求PM网店地址！,2016/5/13 20:50,asseye,
,,,网店地址发过来,2016/5/13 22:53,qiludadi,
,,,楼上都给你们了，老姜希望大家有什么问题可以技术讨论哦呵呵,2016/5/14 10:51,上海松下老姜,
,,,pm个地址,2016/5/14 12:11,Antiatom,
,,,请PM网店地址，以及FY-E25DF1A和FY-E25PMA和FY-25ZJD1C的价格,2016/5/14 14:27,greatleaf,
,,,松下开关插座有吗？PM下网店,2016/5/14 18:15,zxbbos,
,,,求PM网店地址！,2016/5/14 20:44,tzwz,
,,,请PM网店地址,2016/5/14 21:10,gundasifang,
,,,楼上都回复了，技术讨论帖，大家热烈讨论起来,2016/5/14 21:23,上海松下老姜,
"烤箱,洗碗机用独立式的还是嵌入式的好?","德国家电品牌洗碗机及烤箱品名有：西门子，博世，美诺，嘉格纳，利勃海尔，斯麦格，德格等世界品牌。价格方面美诺，嘉格纳，利勃海尔相对比西门子，博世，斯麦格要高些。,QQ图片20170926150433.png,(13.32 KB, 下载次数: 0),下载附件,2017-10-16 14:41 上传,T1rugvFs8cXXXXXXXX_!!0-item_pic.jpg_400x400.jpg,(16.23 KB, 下载次数: 0),下载附件,2017-10-16 14:41 上传,西门子，博世，嘉格纳可提供全求质保服务，其它品名无法提供全球质保。但其它品牌质量不用说了，用个10年没问题。,德国洗碗机和蒸烤箱为独立式和嵌入式二种。有单一蒸机，单一烤机，有蒸烤一体机。独立式对于购买了精装的房子来说好用，因为有些精装的房子没有预留尺寸或者尺寸不够，对于用独立式的可能会占居掉厨房台面空间。美观度不好把握。对于不是精装修的房子建意用嵌入式的洗碗机或者烤箱，可以少占用点台面空间，美观度可以把握。当然嵌入式的需要先量好机子的尺寸交给装修公司预留空间，或者在装修公司开始装修前买好，这样尺寸更准确一点，建意如果中意嵌入式洗碗机和烤箱客户最好提前买好，这样就避免因尺寸不对反工，我司代购+运输正常时效到1个月左右到达客户手里。,公司现有德国代购,+,直邮快递运输服务：,博世/BOSCH 嘉格纳Gaggenau冰箱，斯麦格冰箱，利勃海尔（LIEBHERR）冰箱 洗碗机， 西门子洗碗机,床垫,安全座椅,书桌,大家具,转运快递进口清关 美诺洗衣机，烘干机，西门子冰箱，烤箱 洗碗机，博世冰箱，烤箱，洗碗机，利勃海尔冰箱 红酒柜，雪茄柜，美国席梦思床垫，嘉格纳冰箱，洗碗机。,miele,美诺蒸汽熨烫站一体机,交流 :手机及微信：13760145896",,,2017/10/16 14:42,bfzhang,https://www.jdbbs.com/thread-8369191-1-1.html
【求助】西门子洗碗机接RO净水器跑不完了,"西门子洗碗机 SN23E831TI装上用了几次，效果还可以。然后我搜索看到如果接RO净水器就可以不用软化盐了，正好我装了RO净水器（有桶），就买了点2分三通、2分转4分、4分转6分外丝给接到洗碗机进水管上了。晚上洗，第二天早上进水管灯亮，打开看里面有积水，碗也没完全洗干净。看说明进水下水出问题都有可能灯亮，把下水管重新弄了下，关机再开机，听水放掉了，用强快洗，洗了大概1个半小时以上，又进水管灯亮，打开仍然有点积水。这次有经验了，关机再开机，过几秒打开，积水排掉了，说明是故障程序中止了没有洗完没有排水（这洗碗机可恶不能自动恢复），又搜索看排水问题似乎都是灯闪烁，这个是常亮，应该就是进水告警的问题。,推测是西门子进水检测到水压过低，进水管灯亮，洗碗中止。现在问题是原因是什么？怎么办？从储水桶到洗碗机进水管，2分管大概有2米，水流不会大，压力也就不会高，但是毕竟至少两次开机都洗了1个小时以上了，好像不是这个问题。是一次放水过多把储水桶的水用完了？如果这样压力肯定低，但是不是说洗碗机很省水吗？会一次放那么多？我这个是光跃3.0的桶，有说能存5~6升，按这个推算1次到压力过低之前供3升应该有吧？求各位大神指教，谢谢！",,,2017/10/7 12:33,wdq4587,https://www.jdbbs.com/thread-8364753-1-1.html
为生活增添更多乐趣 四款中高端洗碗机选购热荐,"最近一段时间，行业中一款厨房家电受到非常强烈的关注，就是家用厨房洗碗机，它可通过高温将厨具上的油污进行分解并清洗，同时可对厨具进行高温消毒，适合各种家庭使用，而在这段时间，也有非常多的家电厂商宣布转型洗碗机行业，为消费者提供更多优质的机型。,ZFa2q7SqN_1350879676.jpg,(65.28 KB, 下载次数: 0),下载附件,2016-5-30 09:57 上传,目前，市场上已经上市了很多非常不错的洗碗机产品，下面小编就为大家推荐几款非常不错的产品，希望能够帮助到大家。,海尔WQP12-SFE,参考价格：3999元,海尔WQP12-SFE具有360°全方位喷淋清洗技术，高达2-3米的强劲水流冲刷，高效省水，比手洗省水74%。,海尔洗碗机.jpg,(12.33 KB, 下载次数: 0),下载附件,2016-5-30 09:57 上传,海尔WQP12-SFE特有80℃高温煮洗程序，能够轻松分解油腻污渍，在强力洗涤的同时，能够高效除灭餐具表面99.99%的细菌病毒。,海尔WQP12-SFE内置不锈钢双层喷淋系统，向上能够通过强劲水流将餐具冲洗更干净;向下能够全面清理洗碗机，隔绝任何污渍残留。,海尔WQP12-SFE采用全不锈钢无缝内胆和外开口滑轨，无接缝和圆形转角设计，易清洁，更防止残留日久形成的隐藏污垢，洗净餐具同时也洗净自身。,海尔WQP12-SFE内置三层自清洁过滤系统，三层滤网层层过滤，残渣无残留，同时杜绝异味和病菌产生。,海尔WQP12-SFE能够根据合适的水温、时间，智能添加洗碗粉和漂洗剂，发挥其最大的火星，将餐具清洗的更加洁净。,海尔WQP12-SFE内置水软化系统，进水过程中完成水质软化，并有效提升餐具洁净度，避免加热产生结构，延长部件使用寿命。,编辑点评：,这款海尔WQP12-SFE洗碗机的外观非常简洁、时尚，同时内置多种智能技术，能够轻松完成餐具的清洗以及自身的清洗，性价比也很高。,美的WQP8-3905-CN,参考价格：3999元,美的WQP8-3905-CN采用隐藏式发热管，能够高温去除油污，达到效率消毒，同时除菌率高达99.99%，洗碗、除菌二合一。,美的洗碗机.jpg,(13.9 KB, 下载次数: 0),下载附件,2016-5-30 09:57 上传,美的WQP8-3905-CN内置360°喷淋系统，上下双喷壁同时发出高压水流，对餐具进行360°冲刷，不留污渍。,美的WQP8-3905-CN能够达到70℃的高温热水，边清洗、边加热，热水强力冲洗，能够快速有效分解油脂，不残留。,美的WQP8-3905-CN能够达到四段循环反复清洗，前两段清除油污、残羹，后两阶段冲洗杀菌，反复清洗，全方位洁净。,美的WQP8-3905-CN能顾达到三重极细过滤，比其他机器更加细致，能够确保污物不进入水中再次污染餐具。,编辑点评：,这款美的WQP8-3905-CN洗碗机的外观很百搭，适合各种装修风格的厨房，同时清洗技术以及去污技术也非常高端，是一款不错的产品。,西门子SK23E800TI,参考价格：3399元,西门子SK23E800TI内置节能环保模式，节能50度程序洗涤普通脏污程度的餐具，包括碗碟、餐盘、玻璃杯和刀具等，仅需0.62度用电量，7.5升水，在节能同时达到出色的洗涤效果。,西门子洗碗机.jpg,(16 KB, 下载次数: 0),下载附件,2016-5-30 09:57 上传,西门子SK23E800TI内置水晶/骨瓷40度出色洗涤程度，用于温度敏感型餐具，如高档酒杯、玻璃器皿等，处理轻度污垢，适合洗涤。,西门子SK23E800T内置高温除菌功能，可在洗涤过程中对餐具进行高温除菌，是洗涤、消毒奶瓶等婴幼儿用品的理想方式。,西门子SK23E800T内置智能强力循环泵，能够持续调整冲刷力量和范围，以达到很短时间的良好洗涤效果。,西门子SK23E800T内置水软化系统，能够时刻控制洗涤水的硬度，能更好地确保对器皿的温和呵护，不留水渍，晶亮尽显。,西门子SK23E800T内置弯曲型冲刷臂，利用微几何原理设计的水孔，全面覆盖腔体每个角落，彻底洗净餐具，并配备自清洁喷孔，时刻保持机器内部的清洁。,编辑点评：,这款西门子SK23E800T洗碗机的外观很漂亮、时尚，内置的高温除菌功能能够良好的为餐具全面消毒，是一款很不错的产品。,CAL CD45AL082B,参考价格：3899元,CAL CD45AL082B采用节能加热器，大大增加水的受热面积加热迅速更快，效果更高一次净水洗耗水约8L，每次注入的水，均多次循环过滤冲洗。,CAL洗碗机.jpg,(12.25 KB, 下载次数: 0),下载附件,2016-5-30 09:57 上传,CAL CD45AL082B具有24小时轻松预约功能，能够将洗涤时间延迟不同的时间段，人性化设计，提供更优质的享受。,CAL CD45AL082B内置三重过滤系统，能够分组过滤，主过滤、微过滤，将残渣彻底排除机外。,CAL CD45AL082B具有六种程序可供选择，分别是强力洗、标准洗、经济洗、玻璃洗、90分钟以及快速洗，能够配合各种需求，洗涤更轻松。,CAL CD45AL082B 内置烘干、除菌功能，高温漂洗，使具有很高的温度，遇到快速冷却的不锈钢框门，迅速凝结水滴，达到快速干燥。,编辑点评：,这款CAL CD45AL082B洗碗机的外观很简洁、大方，具有预约、过滤、烘干等功能，可将厨具清洗的更加干净，使用放心。",,,2016/5/30 9:57,小家电编辑,https://www.jdbbs.com/thread-6706544-1-1.html
,,,加盐软化算啦，一包盐能用很久，很久才加一次，盐也是洗碗机里最便宜的。,2017/10/7 13:25,gzmino,
,,,果断加一个桶，3l我觉得太勉强,2017/10/7 16:32,6191,
新兴厨电备受行业关注 国产巨头抢摊洗碗机市场,"去年，由于我国的经济增速出现下滑，以及房地产市场不景气等诸多因素，导致我国整体家电市场出现较大幅度的负增长。而一直处于增长期的厨电市场却稳中有进，实现了逆势生长，不仅如此，一些新兴厨电也在去年备受消费者关注，且有望在今年步入发展爆发期。,ZFa2q7SqN_1350879676.jpg,(67.25 KB, 下载次数: 1),下载附件,2016-5-25 10:27 上传,2015年厨电市场遇爆发式增长,据悉，2015年国家先后颁布了吸油烟机、家用燃气灶新能效标准，提高了行业准入门槛。而阿里巴巴集团也积极响应，在去年4月底彻底封杀了山寨“樱花”品牌。据数据显示，截至2015年12月底，全渠道吸油烟机、燃气灶及消毒柜品牌共计442个，同比2014年12月退出60个，新增179个。线下退出46家，新增55家;线上退出28家，新增180家，行业也因此重新洗牌。,据奥维云网监测数据显示，2015年厨电市场整体规模581亿万元，同比增长6.8%。其中吸油烟机348亿元，燃气灶186亿元，消毒柜47亿元。线上整体规模84亿，同比增长50%，市场渗透率接近15%。线下规模496亿元，同比微增1.8%。,分类来看，2015年油烟机产品高端化趋势显现，尤其是线下市场5000元以上产品的销量占比8.8%，同比净增2.6%。欧式机产品同比销量份额上升1.9%，中式销量份额降至12.1%。17m3及以上大吸力吸油烟机参与品牌从14年的138个增加到161个，累计投入SKU同比增长60%。大吸力销量在15年份额达到50.4%，同比14年净增12个百分点，预计大吸力今后将成为行业标配。,2015年燃气灶依然扮演着千年老二的角色，品牌销售结构与吸油烟机大同小异。款式上看，线下台式灶销量份额有较大幅度下降，仅为7.4%，这部分台式灶需求转移至线上。线上台式灶销量占比与14年同期20.7%相比，15年也仅仅降至20.0%。,据数据显示，2015年消毒柜近34%的销量都是广东省人民贡献的，由于销售地域过于集中，导致消毒柜产品比较容易受到地域因素影响。再加上近几年新型嵌入式厨电的崛起也对消毒柜产品造成一定冲击，导致消毒柜的发展遇到了瓶颈，2015年消毒柜的线下销量规模同比下降3.1%。同时，线上线下销售结构也呈现出不同趋势，线下立式柜份额下降，嵌入式份额增长;线上嵌入式份额下降，立式份额增长，出现了销售结构上的倒退。,新兴厨电备受关注 洗碗机市场或迎春天,近两年，由于人们消费水平的不断提高，导致新兴厨电愈加受到更多消费者的关注与青睐。据奥维云网2015年全渠道推总数据来看，洗碗机、嵌入式微蒸烤规模都有较大幅度的增长。其中，洗碗机、嵌入式蒸箱、嵌入式微波炉线上线下复核增长超过60%，嵌入式电烤箱增长17%。,然而，与传统厨电品类烟灶消不同的是，新兴品类线上渗透率要远远高于传统厨电品类。以洗碗机为例，15年线上销售份额26.7%，远远高于传统厨电的14.8%，比14年增长了一倍以上。就在今年1月，洗碗机市场赢得“开门红”，零售额和零售量同比增长132%和108%，打破了洗碗机市场之前的尴尬处境，并即将迎来发展的小春天。,在洗碗机市场倍受瞩目的同时，市场竞争也悄然开启。随着国产品牌的发力，原本由西门子为主导的洗碗机市场被逐渐分化。据奥维云网线下监测数据显示，2016年第一季度，西门子的销售份额已经缩小至67.7%，而相比于2015年，西门子的线下销售额占比还是77.9%。,作为最早入驻中国市场的德国企业和最早开发洗碗机市场领域的先驱，西门子数年来一家独大，凭借国外品牌成熟的产品的技术，抢占了中国洗碗机的整个市场。但从去年开始，我国的洗碗机市场格局逐渐发生了显著的变化。,据了解，在2016年，老板、方太、美的、海尔等国产巨头已纷纷瞄准了洗碗机市场，并即将推出具有品牌特色的个性化洗碗机产品。随着国内品牌的纷纷发力，将迅速布局我国的洗碗机市场，同时我国的洗碗机市场格局也将面临重新洗牌。,国产巨头抢摊洗碗机市场 提升使用体验是发展方向,早在上世纪80年代末，洗碗机便已进入我国，但是在长达20多年的时间里，洗碗机仍未被中国消费者广泛接受，相比欧美市场50%以上的拥有率，目前洗碗机产品在国内市场占有率还非常低，其原因与特殊的“中国厨房“有关。,与传统手洗相比，“费水、费电还洗不干净”是目前大多数国人对洗碗机的认识，这里不乏对洗碗机产品的误解，但另一方面也体现了以往洗碗机产品本身对中国消费者并不“对口”。因此，打造适合中国家庭的产品，才是真正打开洗碗机“国门”的钥匙。而如何提升国人对洗碗机产品的使用体验，才是当下家电厂商需要为之发力的大方向。,就在今年的上海家博会上，美的发布了中国首款全智能洗碗机，该产品搭载一键智能洗程序，可以判定餐具预冲洗后水的脏污程度，自动选定最节能高效的洗涤路径。其次可手机APP操控，还能DIY洗涤程序，满足各种使用情景。APP上还显示每次洗涤的耗水、耗电量，让洗涤情况也一目了然。同时还根据中国消费者对烘干储存的需求，增强了烘干功能，内置强制风干系统，快速干燥零水渍，非常适合中国消费者对干燥存储功能的要求。,与此同时，海尔发布了“小贝”台式洗碗机，其配备了34L的超大容量，同时搭载了首创三层喷淋技术，附带“双翼360度旋喷”系统，对内部的碗筷进行360度的无死角冲刷，无论多顽固的油污都能有效清除。它还针对中国家庭特有的饮食习惯推出了多种餐具洗涤程序，不同于其它洗碗机的单一模式，用户可根据要清洗的餐具数量和实际需求制定洗涤方案，在充分节约能源的同时真正做到“洗得净”。,现如今，国产家电厂商纷纷发力洗碗机市场，并且发布了非常个性化的智能产品，不仅为我国的消费者提供了优质的产品，同时针对中国厨房的现状提供了更加完善的洗碗方案，这也为我国的厨电市场做出了不小的贡献。,其实，我国的消费者并不是真的不需要洗碗机，只是以往的产品并不能为消费者们提供更加优质的洗碗方案，无法真正实现使用方便、清洗干净、节省资源等相关的要求。因此，对于家电厂商来说，洗碗机市场中的真正较量仍然在于产品本身，那些所谓的价格战役无法真正的吸引消费者，所以，只有赢得市场与广大消费者的追捧，我国的洗碗机市场才能够真正迎来爆发的时期。",,,2016/5/25 10:27,小家电编辑,https://www.jdbbs.com/thread-6497984-1-1.html
,,,"这个,滤芯不要钱吗,软化盐才10几块一包,能用好久好久.",2017/10/7 21:37,qqings,
,,,"谢谢诸位！我已经放弃改回原样了。,大致来说，换大储水桶太贵，也未必可行；净水器改无桶问了要换泵和电源等，也成本很高，也不知是否可行。无桶有人说过，那只有看用无桶的人去测试了。,“果断加一个桶”这个听起来不错，比换大桶便宜，但算了我不折腾了。",2017/10/10 9:35,wdq4587,
,,"谢谢诸位！我已经放弃改回原样了。,大致来说，换大储水桶太贵，也未必可行；净水器改无桶问了要换泵和电源 ...",75G 加个5G桶 这个配置可以供洗碗机,2017/10/10 17:44,yangsirhc,
关于西门子洗碗机的选择！！求大神指点！,楼主最近想买一台洗碗机，其实都长草很久了，终于下定决定买一台，也看了一些关于洗碗机的帖子，很多人建议越大越好，但是楼主现在后悔也晚了，装修做橱柜的时候就是按照西门子内嵌8套的来开孔的，所以只能买西门子8套的那个了，不过平时就两个人吃饭，希望够用吧。 纠结的点来了，西门子内嵌8套有两个型号SC73M810TI和SC76M540TI。 SC73M810TI是镜面塑钢面板，3种洗涤模式，有少量餐具这个增值功能；SC76M540TI是不锈钢面板，6种洗涤模式 增加了智能洗、超快洗、预洗程序，带有加强烘干、加强除菌、加速省时、少量餐具这几个增值功能，有24小时防漏水保护阀。两个型号价格差了近3000呢！ 想请问下各位达人，或者有洗碗机的朋友，洗碗机的功能多一些好不好呢，还是没什么用，功能越多是不是意味着出问题的几率越大？我觉得智能洗，超快洗，和加速省时这几个功能好像看起来不错，不知道实际常用不。到底买哪一个啊，请各位大神给给意见！！！多谢！！,,,2015/12/21 17:44,小花冶金局,https://www.jdbbs.com/thread-5785504-1-1.html
,,"谢谢诸位！我已经放弃改回原样了。,大致来说，换大储水桶太贵，也未必可行；净水器改无桶问了要换泵和电源 ...",供 洗衣机和洗碗机 设备 洗碗机小意思,2017/10/10 17:48,yangsirhc,
,,,省盐是其中一个 最大省的是光亮剂,2017/10/10 17:51,yangsirhc,
,,,"没事瞎折腾,用软化盐就好,机器根本没那么娇贵,其次 光亮剂可以不加啊",2017/10/10 21:07,Scrooge,
,,,怕沉了！！自己顶一个！！,2015/12/21 17:45,小花冶金局,
