PreferentialPrice,FBnumber,PoorCount,p_Name,shop_name,ProductID,price,type,GoodCount,GoodRateShow,keyword,GeneralCount,CommentCount
219,5片,600,美的（Midea）FS40-15HRW 五叶遥控落地扇/电风扇,美的两季品旗舰店,2355523,359,落地扇,41000,97,噪音很小 风扇不错 安装方便 质量不错 遥控方便 风很柔和 使用方便 底座很稳 造型美观 风力很大 扇网坚固 风力很大 风很柔和 底座很稳 遥控方便 安全节能 风力很大 远程遥控 风很柔和 使用方便 安装方便 风力很大 风很柔和 安全节能,900,42000
259,5片,200,美的（Midea）KYS30-10CR 遥控升降转页扇/电风扇,美的两季品旗舰店,365888,369,转页扇,24000,97,安装方便 遥控方便 风扇不错 噪音很小 风很柔和 使用方便 质量不错 远程遥控 造型美观 睡眠风不错,500,25000
159,5片,900,美的（Midea）KYT30-15AW 台式转页扇/电风扇,美的两季品旗舰店,1361008,219,转页扇,87000,97,风扇不错 质量不错 风很柔和 噪音很小 使用方便 风力很大 声音小 底座很稳 睡眠风不错 电机好 风扇不错 广角送风 噪音很小 少见的问题 电机好,1900,90000
329,5片,100,美的（Midea）FS40-17KRW 五叶变频遥控落地扇/电风扇,美的两季品旗舰店,4425010,399,落地扇,5600,96,遥控方便 噪音很小 安装方便 风扇不错 风很柔和 造型美观 质量不错 使用方便 风力很大 远程遥控 广角送风 遥控方便 适合宝宝 颜色漂亮 质量不错 遥控方便 电机好 远程遥控 风力很大 风很柔和 扇网坚固 安装方便 遥控方便 风很柔和 造型美观 安装方便 扇网坚固 声音很大,90,5800
189,5片,700,美的（Midea）FS40-8B1 五叶落地扇/电风扇,美的两季品旗舰店,597426,289,落地扇,60000,96,还可以吧 风扇不错 安装方便 质量不错 噪音很小 风力很大 使用方便 风很柔和 底座很稳 造型美观,2100,63000
319,7片及以上,200,艾美特(Airmate) FS4086RI-W 七叶遥控落地扇/电风扇,艾美特生活电器旗舰店,1365527,699,落地扇,17000,95,噪音很小 风很柔和 风扇不错 质量不错 遥控方便 安装方便 风力很大 造型美观 使用方便 底座很稳,400,18000
178,3片,200,格力（GREE）FD-4030B 遥控式落地扇/电风扇,格力生活电器旗舰店,2599660,359,落地扇,18000,97,安装方便 遥控方便 质量不错 风扇不错 风力很大 噪音很小 造型美观 使用方便 远程遥控 底座很稳 造型美观 风很柔和 睡眠风不错 适合宝宝 底座很稳,300,18000
299,无叶,1300,艾美特(Airmate) FTW36T2-A 塔扇/电风扇,艾美特生活电器旗舰店,216706,398,塔扇,87000,95,还可以吧 使用方便 风扇不错 安装方便 质量不错 造型美观 风力很大 风很柔和 底座很稳 噪音很小,3300,92000
239,5片,100,美的（Midea）FS40-15QRW 五叶遥控落地扇/电风扇,美的两季品旗舰店,1429749,359,落地扇,9800,97,安装方便 风扇不错 遥控方便 风力很大 质量不错 使用方便 底座很稳 噪音很小 风很柔和 电机好 安装方便 睡眠风不错 颜色漂亮 广角送风 远程遥控 风扇不错 风力很大 造型美观 电机好,100,10000
129,5片,200,艾美特(Airmate) FBW32T2 台式转页扇/电风扇,艾美特生活电器旗舰店,1507669,299,转页扇，台扇,27000,97,风扇不错 质量不错 噪音很小 风很柔和 使用方便 造型美观 颜色漂亮 安全节能 风力很大 底座很稳 颜色漂亮 风很柔和,600,28000
599,无叶,30,美的（Midea）FZ10-16BRW 新品内旋式遥控塔扇/电风扇,美的两季品旗舰店,2396504,999,塔扇,2200,97,造型美观 风很柔和 风扇不错 底座很稳 质量不错 颜色漂亮 遥控方便 使用方便 安装方便 睡眠风不错 使用方便 安装方便 风扇不错 底座很稳 造型美观,30,2300
299,7片及以上,20,格力（GREE）FDZ-40X65Bg7  七叶遥控落地扇/直流变频落地扇/电风扇,格力生活电器旗舰店,3962523,459,落地扇,2600,97,噪音很小 风很柔和 质量不错 造型美观 安全节能 安装方便 遥控方便 风扇不错 电机好 风力很大 广角送风 噪音很小 安全节能 造型美观 电机好 噪音很小 造型美观 安全节能 扇网坚固 底座很稳 风力很大 安全节能 电机好 颜色漂亮 风很柔和,50,2700
249,无叶,40,美的（Midea）FZ10-17DW 新款精致居家塔扇/电风扇,美的两季品旗舰店,4424990,319,塔扇,2900,97,造型美观 风扇不错 风很柔和 安装方便 使用方便 质量不错 噪音很小 底座很稳 风力很大 安全节能 电机好 安全节能 广角送风 颜色漂亮 适合宝宝 噪音很小 质量不错 造型美观 底座很稳 风很柔和 安装方便 噪音很小 颜色漂亮 风力很大 电机好 使用方便 风力很大 电机好 适合宝宝 扇网坚固,60,3000
109,3片,1400,先锋（Singfun）大风量电风扇/落地扇DD1112 ,先锋两季品旗舰店,1399668,199,落地扇,93000,96,风扇不错 安装方便 质量不错 风力很大 使用方便 噪音很小 底座很稳 风很柔和 电机好 声音小 电机好 广角送风,2700,98000
109,5片,70,美的（Midea）KYT25-17D 家用台式转页扇/电风扇,美的两季品旗舰店,3864159,159,转页扇,6800,97,风扇不错 噪音很小 质量不错 风很柔和 使用方便 造型美观 安全节能 风力很大 底座很稳 睡眠风不错 质量不错 安全节能 使用方便 风扇不错 底座很稳 风很柔和 安全节能 使用方便,100,7000
169,7片及以上,80,先锋（Singfun）9叶遥控电风扇/落地扇DLD-D5 ,先锋两季品旗舰店,3912031,399,落地扇,5900,97,安装方便 遥控方便 质量不错 风扇不错 造型美观 风力很大 使用方便 颜色漂亮 远程遥控 噪音很小 风力很大 遥控方便 电机好 扇网坚固 质量不错 底座很稳 广角送风 质量不错 安装方便 使用方便 广角送风 安装方便 底座很稳 质量不错 风力很大 风扇不错 颜色漂亮 风很柔和 安全节能 风力很大 安装方便 底座很稳 风扇不错 风力很大 使用方便 安装方便 电机好,100,6200
399,无叶,500,艾美特(Airmate) FT47HR-W 遥控塔扇/电风扇,艾美特生活电器旗舰店,2392868,799,塔扇,16000,91,安装方便 风很柔和 遥控方便 造型美观 使用方便 风扇不错 质量不错 噪音很小 睡眠风不错 远程遥控 造型美观 风很柔和 远程遥控,1200,18000
188,3片,100,格力（GREE)FD-4009B 家用床头定时摇头遥控落地扇 节能立式办公宿舍静音电风扇,格力明达丰专卖店,10143138838,298,落地扇,7600,96,质量不错 遥控方便 噪音很小 安装方便 风扇不错 造型美观 底座很稳 远程遥控 风很柔和 使用方便 电机好 扇网坚固 遥控方便 风扇不错,100,7900
399,7片及以上,10,艾美特(Airmate) SW164R-1 七叶遥控台立扇/电风扇,艾美特生活电器旗舰店,4533802,799,台扇,1200,97,造型美观 风很柔和 噪音很小 安装方便 颜色漂亮 风扇不错 遥控方便 质量不错 底座很稳 使用方便 质量不错 远程遥控 噪音很小 安装方便 质量不错 安装方便 造型美观 睡眠风不错,20,1300
219,5片,100,艾美特(Airmate) FW4035R 五叶遥控壁扇/电风扇,艾美特生活电器旗舰店,375147,299,壁扇,7600,96,遥控方便 质量不错 安装方便 风扇不错 风力很大 使用方便 噪音很小 风很柔和 电机好 底座很稳 噪音很小 广角送风 使用方便 风扇不错 使用方便 噪音很小,200,8000
249,5片,50,美的（Midea）FS40-13GR 大风量电风扇/落地扇/智能家用电风扇/遥控风扇,美的绿灯侠专卖店,10913792973,269,落地扇,5200,98,质量不错 风扇不错 风力很大 噪音很小 安装方便 使用方便 造型美观 遥控方便 安全节能 底座很稳 造型美观 颜色漂亮 风扇不错 风很柔和 质量不错 噪音很小 安装方便 风扇不错 风很柔和 使用方便,50,5300
79,5片,100,格力（GREE） KYT-2501a 转页扇/电风扇,格力生活电器旗舰店,848318,139,转页扇，台扇,12000,96,风扇不错 使用方便 质量不错 噪音很小 风很柔和 造型美观 风力很大 安全节能 颜色漂亮 底座很稳,300,12000
239,5片,30,美的（Midea）FS40-13CR 大风量电风扇/落地扇/智能家用电风扇/遥控风扇美的 黑色,美的环境电器旗舰店,11533566845,289,落地扇,3500,98,噪音很小 安全节能 风力很大 底座很稳 扇网坚固 远程遥控 颜色漂亮 造型美观 风很柔和 电机好 遥控方便 质量不错 噪音很小 风扇不错,30,3600
329,无叶,30,美的（Midea）FZ10-15BRW 塔扇无叶风扇电风扇遥控家用静音立式风扇,美的环境电器旗舰店,10988055671,399,塔扇,3400,98,噪音很小 风很柔和 造型美观 安全节能 风力很大 底座很稳 颜色漂亮 电机好 扇网坚固 适合宝宝,30,3500
698,无叶,80,艾美特(Airmate) FTW50BR 直流变频遥控塔扇/电风扇,艾美特生活电器旗舰店,1083232,769,塔扇,4600,94,造型美观 还可以吧 风很柔和 使用方便 质量不错 遥控方便 风扇不错 噪音很小 睡眠风不错 远程遥控,100,4900
269,5片,200,艾美特(Airmate) FBW09RS 升降遥控转页扇/电风扇,艾美特生活电器旗舰店,216696,339,转页扇,15000,95,遥控方便 安装方便 质量不错 使用方便 风扇不错 噪音很小 风力很大 风很柔和 底座很稳 睡眠风不错 安装方便 遥控方便 噪音很小,500,16000
399,5片,10,美的（Midea）FS40-15CR 五叶变频遥控落地扇/电风扇,美的两季品旗舰店,3864157,499,落地扇,1900,98,噪音很小 造型美观 遥控方便 安装方便 风很柔和 质量不错 风扇不错 底座很稳 安全节能 使用方便 遥控方便 安全节能 底座很稳 安装方便 风很柔和 造型美观 安装方便 风很柔和 遥控方便 噪音很小 质量不错 遥控方便 睡眠风不错 噪音很小 安全节能 电机好 风很柔和 广角送风 遥控方便 造型美观,20,1900
149,3片,30,【京仓直送】格力（GREE）电风扇机械落地扇立式家用落地扇静音学生风扇摇头电扇三叶扇3档 FD-4012-WG,格力欧楠专卖店,11430294931,399,落地扇,1800,96,风力很大 风扇不错 质量不错 使用方便 造型美观 噪音很小 安装方便 扇网坚固 底座很稳 风很柔和,30,1900
669,无叶,10,美的（Midea）塔扇 风扇 落地扇电风扇 静音预约定时 FZ10-16BRW ,美的小家电官方旗舰店,10329448645,699,塔扇,700,96,造型美观 风力很大 质量不错 远程遥控 风扇不错 遥控方便 风很柔和 广角送风 颜色漂亮 噪音很小,10,700
149,3片,30,格力(GREE) FD-4012-WG学生家用静音节能落地扇 家用立式大风量客厅宿舍电风扇,格力明达丰专卖店,11340882780,299,落地扇,2100,97,质量不错 安装方便 风扇不错 风力很大 底座很稳 使用方便 噪音很小 造型美观 颜色漂亮 风很柔和 安装方便 质量不错 使用方便 风力很大 底座很稳,40,2200
249,5片,200,美的（Midea）电风扇 落地 静音定时电扇 落地扇 FS40-13GR  ,美的小家电官方旗舰店,1597427476,269,落地扇,9200,95,质量不错 风扇不错 遥控方便 安装方便 噪音很小 风力很大 造型美观 风很柔和 使用方便 远程遥控,200,9700
339,7片及以上,40,格力(GREE)落地扇电风扇遥控家用智能7叶静音FD-4042Bg7-WG 白,格力威铭专卖店,10221881337,699,落地扇,1900,96,风扇不错 噪音很小 质量不错 安装方便 造型美观 风力很大 使用方便 遥控方便 底座很稳 风很柔和 底座很稳 遥控方便 风扇不错 使用方便,50,2000
249,无叶,10,先锋（Singfun）遥控塔扇/电风扇/落地扇DTS-HG2（黑色）,先锋两季品旗舰店,4520014,399,塔扇,1300,96,安装方便 风扇不错 使用方便 风很柔和 遥控方便 噪音很小 造型美观 质量不错 远程遥控 底座很稳 风很柔和 底座很稳 安装方便 睡眠风不错 扇网坚固 使用方便 噪音很小 底座很稳 遥控方便,40,1400
179,3片,90,美的（Midea）FT40-15A 台扇/电风扇,美的两季品旗舰店,1360993,239,台扇,7400,97,质量不错 风扇不错 噪音很小 风力很大 安装方便 使用方便 底座很稳 造型美观 风很柔和 颜色漂亮 噪音很小 质量不错 安全节能 颜色漂亮 底座很稳 安全节能 安装方便 风扇不错,100,7600
218,5片,10,格力（GREE）FD-40X63Bh5  五叶遥控落地扇/电风扇,格力生活电器旗舰店,3899677,299,落地扇,1200,97,安装方便 质量不错 遥控方便 风很柔和 使用方便 风力很大 风扇不错 颜色漂亮 造型美观 远程遥控,20,1200
198,5片,80,格力（GREE）FD-4025Bh5-WG 5叶遥控式落地扇/电风扇,格力生活电器旗舰店,2377411,318,落地扇,9300,97,风扇不错 遥控方便 安装方便 质量不错 噪音很小 使用方便 颜色漂亮 底座很稳 远程遥控 风力很大 颜色漂亮 安装方便 质量不错 遥控方便,100,9500
389,7片及以上,20,格力（GREE）FD-4041Bg7-wg 遥控式落地扇/电风扇,格力生活电器旗舰店,2599497,659,落地扇,1800,95,造型美观 风扇不错 噪音很小 风很柔和 质量不错 安装方便 底座很稳 风力很大 使用方便 遥控方便 风扇不错 质量不错 电机好 风很柔和 底座很稳 使用方便 睡眠风不错 安全节能 质量不错 风很柔和 安装方便 风扇不错 造型美观 底座很稳 风力很大,40,1900
249,5片,300,艾美特(Airmate) FSW35R-14 五叶遥控落地扇/电风扇,艾美特生活电器旗舰店,1365528,699,落地扇,21000,95,遥控方便 安装方便 风扇不错 噪音很小 质量不错 风很柔和 使用方便 风力很大 远程遥控 睡眠风不错 风扇不错 使用方便 质量不错 风很柔和,600,22000
699,7片及以上,5,艾美特(Airmate) FS40102R 七叶遥控直流变频落地扇/电风扇,艾美特生活电器旗舰店,3918853,1399,落地扇,500,97,噪音很小 风很柔和 造型美观 质量不错 底座很稳 远程遥控 遥控方便 安全节能 风扇不错 电机好 睡眠风不错 风扇不错 风很柔和 质量不错 质量不错 安全节能 噪音很小 安装方便 使用方便,10,500
349,5片,10,艾美特(Airmate) FS40104R 五叶遥控落地扇/电风扇,艾美特生活电器旗舰店,3918859,699,落地扇,1100,97,造型美观 质量不错 安装方便 遥控方便 风扇不错 噪音很小 风很柔和 使用方便 颜色漂亮 睡眠风不错,20,1200
479,无叶,9,美的（Midea）电风扇遥控落地家用台式无叶静音立式壁扇轻奢塔扇,美的小家电官方旗舰店,12281948611,499,塔扇,300,94,安装方便 颜色漂亮 睡眠风不错 造型美观 质量不错 遥控方便 使用方便 风很柔和 风扇不错 风力很大,9,300
179,3片,80,美的（Media）FW40-F3 壁扇/电风扇 ,美的两季品旗舰店,125856,299,壁扇,5200,96,还可以吧 风扇不错 质量不错 使用方便 安装方便 噪音很小 风很柔和 风力很大 造型美观 电机好 安装方便 质量不错 风很柔和 风扇不错,100,5400
259,无叶,20,美的（Midea）FZ10-15BW 塔扇无叶风扇/家用电风扇/静音立式风扇,美的绿灯侠专卖店,11166213731,269,塔扇,2000,98,质量不错 风扇不错 造型美观 噪音很小 风力很大 使用方便 安装方便 安全节能 风很柔和 底座很稳 质量不错 安全节能 风力很大 噪音很小 电机好 电机好 风力很大 遥控方便 安装方便 风很柔和 造型美观 风扇不错 质量不错,20,2100
189,5片,80,艾美特(Airmate) SW56T2 五叶台立扇/电风扇,艾美特生活电器旗舰店,152561,319,台扇,8200,97,噪音很小 风扇不错 安装方便 质量不错 风很柔和 使用方便 声音小 电机好 底座很稳 睡眠风不错 噪音很小 安装方便 风很柔和,200,8500
159,5片,300,先锋（Singfun）遥控电风扇/落地扇DD1219,先锋两季品旗舰店,838041,269,落地扇,18000,94,还可以吧 遥控方便 风扇不错 一般 质量不错 安装方便 风力很大 使用方便 噪音很小 远程遥控 安全节能 噪音很小 风力很大 远程遥控 使用方便,700,19000
159,3片,100,奥克斯 (AUX) FD-140 电风扇/1400mm吊扇,奥克斯电风扇旗舰店,1415061,599,吊扇,3500,93,风扇不错 质量不错 风力很大 安装方便 噪音很小 风很柔和 电机好 使用方便 造型美观 扇网坚固 颜色漂亮 质量不错 造型美观 使用方便 广角送风 安装方便 底座很稳 风扇不错,100,3800
349,无叶,9,美的（Midea）FZ10-15BRW 塔扇无叶风扇/智能风扇/遥控电风扇 静音立式风扇,美的绿灯侠专卖店,11166367999,359,塔扇,500,97,质量不错 使用方便 造型美观 遥控方便 风力很大 风扇不错 安全节能 噪音很小 安装方便 风很柔和,10,600
159,5片,40,格力(GREE)电风扇落地扇家用静音定时5叶大风量FD-4027h5-WG 白色,格力威铭专卖店,10194646155,299,落地扇,2500,96,噪音很小 造型美观 风很柔和 风力很大 安装方便 风扇不错 使用方便 底座很稳 质量不错 安全节能,60,2600
159,3片,50,艾美特(Airmate) FDW09T2 台扇/电风扇,艾美特生活电器旗舰店,1365498,399,台扇,9400,97,噪音很小 质量不错 风扇不错 安装方便 风很柔和 使用方便 声音小 风力很大 底座很稳 电机好,100,9600
399,5片,10,艾美特(Airmate) FS40105QR 五叶遥控驱蚊扇/落地扇/电风扇,艾美特生活电器旗舰店,4533800,799,落地扇,1000,96,底座很稳 质量不错 风很柔和 风力很大 遥控方便 噪音很小 安装方便 造型美观 安全节能 使用方便 远程遥控 安全节能 遥控方便,20,1000
329,5片,10,美的（Midea）电风扇 落地 智能变频 遥控风扇 静音落地扇 FS40-17JRW 白色,美的小家电官方旗舰店,11653229698,399,落地扇,900,98,风很柔和 造型美观 安装方便 风扇不错 噪音很小 遥控方便 质量不错 底座很稳 远程遥控 使用方便 底座很稳 睡眠风不错 造型美观 安装方便 经济实惠 质量不错 遥控方便 风很柔和 造型美观,10,1000
239,5片,20,美的（Media）FW40-11AR 电风扇/五叶遥控壁扇,美的两季品旗舰店,1408768,329,壁扇,1000,96,风扇不错 遥控方便 声音小 风力很大 质量不错 造型美观 噪音很小 使用方便 安装方便 颜色漂亮 颜色漂亮,20,1100
339,7片及以上,20,格力（GREE)电风扇/直流变频遥控落地扇/7叶电扇 FDZ-40X65Bg7 粉蓝色,格力TOSOT旗舰店,11043379708,499,落地扇,1100,97,安装方便 使用方便 噪音很小 质量不错 风很柔和 电机好 风扇不错 遥控方便 颜色漂亮 安全节能 广角送风 安装方便 遥控方便,10,1100
59,4片,200,奥克斯（AUX）FO-18A7 电风扇/7寸USB风扇/台扇/夹扇/床头小风扇,奥克斯电风扇旗舰店,2501425,99,台扇，壁扇，空气循环扇，USB风扇，风扇伴侣,13000,95,风扇不错 使用方便 质量不错 噪音很小 风很柔和 底座很稳 风力很大 造型美观 安装方便 颜色漂亮,300,13000
239,5片,2400,艾美特(Airmate) FSW65R-5 五叶遥控落地扇/电风扇,艾美特生活电器旗舰店,829765,299,落地扇,170000,96,还可以吧 安装方便 遥控方便 风扇不错 质量不错 风力很大 使用方便 噪音很小 远程遥控 风很柔和 风力很大 风很柔和 底座很稳 使用方便 安全节能 风力很大 质量不错 使用方便 造型美观 安装方便 底座很稳 颜色漂亮 睡眠风不错,5600,180000
169,5片,8,格力（GREE）FD-4009-WG 五叶机械落地扇/电风扇,格力生活电器旗舰店,4483860,239,落地扇,1300,97,风扇不错 噪音很小 质量不错 安装方便 风力很大 风很柔和 电机好 底座很稳 使用方便 造型美观,20,1400
159,3片,10,格力（GREE）FD-4033-WG 三叶机械落地扇/电风扇,格力生活电器旗舰店,4483854,239,落地扇,1300,97,质量不错 风扇不错 安装方便 风力很大 造型美观 噪音很小 使用方便 底座很稳 安全节能 风很柔和,20,1300
258,7片及以上,10,美的（Midea）FTS30-17A 家用升降转页扇/台地扇/电风扇,美的两季品旗舰店,4424976,299,台扇,700,97,风扇不错 噪音很小 质量不错 造型美观 风很柔和 安装方便 扇网坚固 底座很稳 风力很大 颜色漂亮 风很柔和 安装方便,10,700
149,5片,600,奥克斯（AUX）FS-40-A1626RC 电风扇/酷黑五扇叶遥控落地扇,奥克斯电风扇旗舰店,1058012,399,落地扇，空气循环扇,41000,94,遥控方便 风扇不错 风力很大 安装方便 质量不错 使用方便 还可以吧 远程遥控 底座很稳 造型美观,1500,43000
159,5片,30,【京仓直送】先锋（Singfun）可定时落地立式冷风扇厨房卧室遥控静音大风力电风扇落地扇 DD1312遥控5叶,先锋生活电器旗舰店,10225600578,498,落地扇,1700,96,风力很大 质量不错 风扇不错 噪音很小 安装方便 遥控方便 使用方便 造型美观 底座很稳 扇网坚固,40,1800
269,5片,9,美的（Midea）KYS30-10CR 遥控转页落地扇 升降定时静音家用风扇,美的绿灯侠专卖店,11166548108,289,转页扇,400,96,风扇不错 造型美观 质量不错 风很柔和 噪音很小 底座很稳 安装方便 遥控方便 使用方便 安全节能,8,400
218,5片,50,格力（GREE）FD-4025Bah5-WG电风扇大风量/家用五叶遥控定时落地,格力TOSOT旗舰店,10203314990,318,落地扇,2000,95,遥控方便 风扇不错 质量不错 造型美观 使用方便 安装方便 风力很大 风很柔和 颜色漂亮 噪音很小 质量不错 安装方便 颜色漂亮 噪音很小 遥控方便,40,2100
879,7片及以上,2,格力（GREE）FSZ-3008Bbg7-WG  直流变频台地扇/七叶遥控落地扇/电风扇,格力生活电器旗舰店,4621800,1199,落地扇,100,97,造型美观 风扇不错 电机好 质量不错 风很柔和 噪音很小 遥控方便 安全节能 安装方便 颜色漂亮 风扇不错 远程遥控 睡眠风不错 扇网坚固 安全节能 质量不错 遥控方便 电机好 风很柔和 安装方便 风扇不错 使用方便 远程遥控 安全节能 睡眠风不错 安装方便 电机好 风很柔和 使用方便 电机好 造型美观 风很柔和,3,100
49,6片,200,奥克斯（AUX）FC-16A1 电风扇/六叶小吊扇/蚊帐扇/宿舍吊扇,奥克斯电风扇旗舰店,2501326,89,吊扇，风扇伴侣,11000,95,噪音很小 安装方便 风扇不错 风很柔和 使用方便 质量不错 安全节能 风力很大 睡眠风不错 造型美观,300,11000
159,3片,60,格力（GREE）FDE-40 家用客厅省电静音机械式落地扇 节能定时立式办公宿舍床头电风扇,格力明达丰专卖店,10138054173,398,落地扇,3300,96,质量不错 风扇不错 噪音很小 风力很大 使用方便 安装方便 颜色漂亮 风很柔和 造型美观 底座很稳,60,3400
279,5片,90,格力(GREE)电风扇落地遥控家用静音五叶电扇FD-4008Ba-WG 红白,格力威铭专卖店,10213332011,699,落地扇,3000,95,噪音很小 质量不错 造型美观 风扇不错 遥控方便 安装方便 颜色漂亮 使用方便 风很柔和 风力很大 扇网坚固 造型美观 风扇不错 使用方便 底座很稳,70,3100
149,3片,70,艾美特（AIRMATE）FZ5610【全新升级】1.4米56寸电风扇吊扇 大风量电扇工程扇 白色,艾美特华安专卖店,10158057235,1490,吊扇,1400,91,风扇不错 风力很大 质量不错 安装方便 电机好 造型美观 使用方便 噪音很小 风很柔和 安全节能 造型美观 使用方便 质量不错 风扇不错 广角送风 质量不错 造型美观 电机好,60,1600
349,无叶,0,艾美特(Airmate) FTW57T2 塔扇/电风扇,艾美特生活电器旗舰店,4155459,899,塔扇,100,99,质量不错 造型美观 底座很稳 风扇不错 噪音很小 安装方便 风很柔和 睡眠风不错 风力很大 广角送风,1,100
499,无叶,4,艾美特（AIRMATE）【到手价419】FT70R电风扇塔扇家用塔式无叶落地扇 静音拆洗,艾美特旗舰店,11956390126,5490,塔扇,100,94,风很柔和 造型美观 遥控方便 噪音很小 使用方便 风扇不错 安装方便 睡眠风不错 扇网坚固 广角送风 风扇不错 睡眠风不错 噪音很小 遥控方便,4,100
89,5片,60,格力(GREE)小风扇鸿运扇转页扇静音台式电风扇KYT-2501a 白蓝,格力威铭专卖店,10147055621,168,台扇,3200,95,噪音很小 风扇不错 质量不错 使用方便 风很柔和 风力很大 造型美观 颜色漂亮 底座很稳 安全节能 安全节能 风力很大 风扇不错 风很柔和 颜色漂亮,100,3400
