GoodRateShow,FBnumber,keyword,GeneralCount,PreferentialPrice,ProductID,p_Name,type,PoorCount,GoodCount,CommentCount,price,shop_name
20,1100,1540230565,5片,壁扇,20,风扇不错 安装方便 质量不错 噪音很小 风力很大 使用方便 风很柔和 遥控方便 造型美观 远程遥控 质量不错 广角送风 扇网坚固 睡眠风不错 使用方便,96,1100,799.00,艾美特子云专卖店,艾美特(Airmate)遥控壁扇 FW3521R电风扇家用节能14吋摇头壁挂5片叶,239.00
0,50,12065927313,7片及以上,落地扇，转页扇，台扇,0,质量不错 造型美观 安装方便 使用方便 噪音很小 颜色漂亮 风扇不错 远程遥控 适合宝宝 安全节能 质量不错 噪音很小 使用方便,100,50,1699.00,瑞华精英电器专营店,小米（MI）电风扇 智米家用智能落地扇 直流变频落地扇 远程遥控 模拟自然风静音电风扇 智米电风扇,799.00
3,80,10567998731,无叶,落地扇，塔扇，空气循环扇,5,风很柔和 安全节能 使用方便 造型美观 质量不错 颜色漂亮 风力很大 安装方便 远程遥控 噪音很小 安全节能 噪音很小 使用方便 噪音很小 安全节能 风扇不错 造型美观 广角送风 风很柔和 适合宝宝 安全节能 安全节能 扇网坚固 质量不错 风力很大,90,70,2699.00,爱家乐生活电器专卖店, 爱家乐（AKIRA）AZ18塔扇无叶风扇落地扇静音空气循环扇,999.00
8,300,1415060,3片,吊扇,6,风扇不错 质量不错 噪音很小 安装方便 风力很大 使用方便 电机好 造型美观 风很柔和 颜色漂亮,96,300,469.00,TCL电风扇旗舰店,TCL FC-30T 电风扇/1400mm吊扇,159.00
10,700,3941989,无叶,塔扇,30,造型美观 风扇不错 广角送风 质量不错 使用方便 远程遥控 风很柔和 安装方便 电机好 噪音很小 使用方便 颜色漂亮 造型美观 广角送风 远程遥控 使用方便 底座很稳 风很柔和,94,600,399.00,长虹两季品旗舰店,长虹（CHANGHONG）电风扇塔扇/无叶风扇 大厦风扇/静音遥控家用风扇 CFS-TD2012R,239.00
0,200,1988725641,无叶,落地扇，塔扇，转页扇，台扇，空气循环扇，风扇伴侣,1,造型美观 使用方便 颜色漂亮 底座很稳 安装方便 噪音很小 适合宝宝 安全节能 远程遥控 电机好 风很柔和 睡眠风不错 适合宝宝 扇网坚固 广角送风 颜色漂亮 扇网坚固 遥控方便 造型美观,100,200,499.00,跨境数码全球购旗舰店,美的（Midea）电风扇落地塔扇家用静音遥控定时扇摇头宿舍学生办公室大厦扇台式扇无叶风扇 遥控版,329.00
8,800,2640223,无叶,没有对应数据,20,使用很方便 很方便携带 实用专业 有收藏性 使用很方便 很方便携带 使用很方便,96,800,299.00,安备京东自营户外旗舰店,安备 户外充电扇 电风扇 无绳风扇 落地扇 台式风扇 小风扇 5914白,259.00
1,100,12678455507,5片,落地扇，转页扇，台扇,3,风很柔和 质量不错 风力很大 使用方便 安全节能 风扇不错 安装方便 底座很稳 噪音很小 扇网坚固 风很柔和,96,100,299.00,格力欧楠专卖店,格力（GREE）电风扇KYSI-30D转页扇鸿运扇落地扇立式升降五叶定时静音风扇 KYSI-30D机械五叶扇,189.00
50,2400,1415042,3片,吊扇,90,风扇不错 质量不错 风力很大 安装方便 噪音很小 使用方便 风很柔和 造型美观 扇网坚固 安全节能,94,2300,599.00,志高电风扇旗舰店,志高（CHIGO） FC-30 电风扇/1400mm吊扇,159.00
200,5700,2743868,4片,台扇，USB风扇,200,使用方便 风扇不错 噪音很小 风很柔和 质量不错 安装方便 安全节能 扇网坚固 风力很大 底座很稳 风很柔和 颜色漂亮 造型美观 底座很稳 扇网坚固 使用方便 风力很大 安全节能 底座很稳 质量不错,92,5200,40.00,海纳斯两季品旗舰店,海纳斯 HANASS FS-0612电风扇USB迷你4寸轻音小风扇便携创意桌面办公风扇,19.90
0,50,1982756220,无叶,落地扇,0,风扇不错 使用方便 质量不错 风很柔和 颜色漂亮 安全节能 底座很稳 造型美观 噪音很小 电机好 质量不错 风扇不错 噪音很小 底座很稳 扇网坚固 使用方便 质量不错 风力很大 质量不错 遥控方便 风扇不错 安装方便 睡眠风不错,100,50,5998.00,cici国际海外旗舰店,戴森（Dyson）AM09无叶风扇取暖器电暖气电风扇 冷暖两用 白色,3180.00
8,200,11382961482,5片,吊扇,10,安装方便 风力很大 风扇不错 质量不错 使用方便 电机好 噪音很小 风很柔和 造型美观 广角送风 风力很大 质量不错,93,200,279.00,钻石牌非凡专卖店,钻石牌(DIAMOND)五叶吊扇/电风扇 1.4米56寸楼顶扇,239.00
4,100,11281378401,5片,转页扇,7,风扇不错 质量不错 噪音很小 风很柔和 安装方便 造型美观 底座很稳 广角送风 颜色漂亮 睡眠风不错 风扇不错 噪音很小 造型美观 安装方便 风扇不错 广角送风,94,100,249.00,美的绿灯侠专卖店,美的（Midea）KYS30-5A 台式风扇落地台扇 升降转页扇静音定时鸿运扇,229.00
9,300,1569293724,无叶,塔扇,9,造型美观 质量不错 遥控方便 安装方便 风扇不错 噪音很小 使用方便 风力很大 安全节能 底座很稳 遥控方便 噪音很小 安全节能 造型美观 遥控方便 造型美观,94,300,1029.00,艾美特子云专卖店,艾美特(Airmate)电风扇FTW56R 遥控塔扇无叶风扇 黑色,349.00
5,1900,11499240424,无叶,塔扇,10,风很柔和 安全节能 扇网坚固 适合宝宝 风力很大 造型美观 底座很稳 噪音很小 颜色漂亮 远程遥控 风很柔和 风扇不错 噪音很小 安全节能 适合宝宝,99,1800,569.00,桑普官方旗舰店,桑普(Sampux)电风扇塔扇 遥控家用静音母婴塔式大厦扇 立式摇头无叶风扇台式落地扇电扇 柠檬绿96型,298.00
50,4400,1592809,5片,台扇,100,风扇不错 质量不错 噪音很小 风力很大 安装方便 使用方便 底座很稳 风很柔和 电机好 睡眠风不错,96,4200,129.00,长城官方旗舰店,长城（CHANGCHENG）FT-30（1）电风扇/12寸台扇,89.00
3,100,11635526041,无叶,落地扇，塔扇，台扇，空气循环扇,0,风力很大 噪音很小 安全节能 风很柔和 广角送风 电机好 适合宝宝 远程遥控 底座很稳 造型美观,98,100,1299.00,欧麦斯旗舰店,欧麦斯Air-H5 无叶风扇 落地式风扇 家用电扇  空气循环扇 电风扇塔扇 无扇叶台扇 月光白,599.00
30,1100,10252499036,3片,工业扇,30,风力很大 风扇不错 使用方便 扇网坚固 安装方便 底座很稳 电机好 质量不错 噪音很小 安全节能 电机好 广角送风 质量不错 使用方便 安全节能 使用方便 扇网坚固 风力很大 噪音很小 质量不错 底座很稳 广角送风,94,1000,360.00,先创旗舰店,先创（XIANCHUANG）电风扇大/工业风扇/落地扇/牛角扇 750标准款网罩80CM,249.00
30,1100,1540374,无叶,塔扇,40,使用方便 遥控方便 质量不错 风扇不错 风力很大 造型美观 风很柔和 底座很稳 远程遥控 安全节能 造型美观 风扇不错 睡眠风不错 安装方便 电机好 风力很大 广角送风 风扇不错 质量不错 遥控方便 远程遥控,93,1000,1099.00,艾美特生活电器旗舰店,艾美特(Airmate) FTA57R-WJ 智能塔扇/电风扇 京东微联APP控制,399.00
40,1400,1566209583,3片,落地扇,30,质量不错 风力很大 噪音很小 风扇不错 安装方便 造型美观 底座很稳 使用方便 颜色漂亮 电机好,94,1300,526.00,格力小家电专营店,GREE/格力风扇 FD-4012-WG 家用静音电风扇定时节能落地扇,169.00
10,700,11301837456,3片,落地扇,10,使用方便 安全节能 颜色漂亮 风力很大 噪音很小 扇网坚固 风很柔和 造型美观 底座很稳 睡眠风不错,96,600,189.00,格力清力专卖店,格力电风扇落地扇家用FD-4012-WG宿舍办公电扇定时静音学生落地风扇,149.00
5,400,4483858,3片,壁扇,8,使用方便 风扇不错 噪音很小 风力很大 安装方便 造型美观 质量不错 风很柔和 电机好 扇网坚固 安装方便 使用方便 颜色漂亮 电机好 风扇不错,97,400,239.00,格力生活电器旗舰店,格力（GREE）FB-4005-WG  壁扇/三叶扇/电风扇,199.00
10,2300,11731136370,5片,落地扇,10,噪音很小 风力很大 颜色漂亮 电机好 造型美观 底座很稳 安全节能 广角送风 安装方便 质量不错 颜色漂亮 风力很大 底座很稳 噪音很小 电机好,99,2200,599.00,立尚专营店,扬子（YANGZI)FS-40-808 电风扇落地扇五叶家用电扇 机械款,99.00
20,2500,2599499,5片,落地扇,30,质量不错 噪音很小 安装方便 遥控方便 造型美观 风很柔和 风扇不错 风力很大 底座很稳 使用方便 安装方便 噪音很小 造型美观 质量不错 安装方便 扇网坚固 电机好 风力很大 质量不错 造型美观 睡眠风不错 遥控方便 噪音很小 风很柔和 扇网坚固 风扇不错,97,2500,399.00,格力生活电器旗舰店,格力（GREE）FD-4026Bg5-wg 遥控式落地扇/电风扇,269.00
2,80,1982076396,无叶,塔扇,1,使用方便 造型美观 质量不错 噪音很小 安全节能 底座很稳 安装方便 风扇不错 风力很大 风很柔和 风扇不错,97,80,4999.00,富瑞康全球购专营店,Dyson戴森 无叶风扇  电风扇  静音安全无叶风扇 落地 柔和自然风 AM08 dyson无叶风扇  银白色,2799.00
7,400,11331588170,3片,落地扇,10,安装方便 使用方便 造型美观 电机好 安全节能 扇网坚固 噪音很小 质量不错 底座很稳 颜色漂亮,97,400,179.00,悦联专营店,格力电风扇家用落地扇FD-4020-WG宿舍立式静音学生落地摇头风扇,129.00
4,400,10564821238,无叶,落地扇，台扇，空气循环扇,7,质量不错 风扇不错 风力很大 使用方便 颜色漂亮 造型美观 适合宝宝 底座很稳 安全节能 扇网坚固 噪音很小 颜色漂亮 电机好 风扇不错 风很柔和 风扇不错 适合宝宝 质量不错,98,400,2299.00,爱家乐生活电器专卖店,爱家乐AX100电风扇落地无叶风扇家用空气循环扇台式风扇 蓝色,599.00
5,200,11704349111,7片及以上,落地扇,2,质量不错 风很柔和 遥控方便 远程遥控 安装方便 使用方便 颜色漂亮 底座很稳 造型美观 噪音很小,97,200,799.00,格力傲信专卖店,格力（GREE)电风扇 直流变频 遥控 落地扇 7风叶 FDZ-40X65Bg7 淡蓝色,369.00
10,700,1083231,5片,落地扇,30,声音小 还可以吧 一般 噪音很小 造型美观 风很柔和 质量不错 底座很稳 电机好 遥控方便 颜色漂亮 噪音很小 遥控方便 使用方便 底座很稳 噪音很小 电机好 风力很大 质量不错 颜色漂亮,94,600,699.00,艾美特生活电器旗舰店,艾美特(Airmate) FSW62R 直流变频遥控落地扇/电风扇,549.00
0,40,5101708,7片及以上,落地扇,2,风力很大 噪音很小 使用方便 造型美观 颜色漂亮 电机好 安装方便 广角送风 风很柔和 底座很稳 适合宝宝 风很柔和 造型美观 噪音很小 使用方便 广角送风 风很柔和 造型美观 底座很稳 风很柔和 扇网坚固 颜色漂亮 造型美观 风力很大,96,40,2099.00,艾美特生活电器旗舰店,艾美特(Airmate) FS4081SR 七叶遥控智能语音控制落地扇/电风扇/风扇,999.00
10,2100,11803292050,无叶,台扇,10,噪音很小 颜色漂亮 电机好 安全节能 风力很大 适合宝宝 造型美观 底座很稳 质量不错 广角送风 广角送风 风力很大 电机好 造型美观 使用方便 适合宝宝 电机好 风扇不错 风很柔和 底座很稳 睡眠风不错 风很柔和 噪音很小 使用方便 颜色漂亮,98,2000,699.00,立尚专营店,扬子（YANGZI）FT-B 遥控塔扇/无叶家用电风扇/立式风扇 经典款   机械,149.00
50,2700,10285311769,5片,壁扇,60,遥控方便 使用方便 远程遥控 质量不错 风很柔和 风扇不错 风力很大 安装方便 噪音很小 造型美观,96,2600,389.00,先科SAST专卖店,先科（SAST）电风扇壁扇壁挂风扇吊扇静音家用宿舍电扇 遥控/机械 16寸 302-R 遥控款,109.00
10,200,10502318585,5片,落地扇,10,遥控方便 风扇不错 安装方便 风很柔和 使用方便 风力很大 噪音很小 质量不错 安全节能 扇网坚固,89,200,2190.00,艾美特旗舰店,艾美特(Airmate)【到手价199】五叶遥控落地扇/电风扇FS4092R-WA,239.00
1000,29000,608054,6片,转页扇，台扇,2100,还可以吧 使用方便 风扇不错 质量不错 风力很大 风很柔和 颜色漂亮 造型美观 噪音很小 安全节能 简单大方 风很柔和 造型美观 颜色漂亮 睡眠送风 使用方便,89,26000,99.00,华生旗舰店,华生（Wahson）KYT25-1102 电风扇/台式转页扇（蓝色）/风扇,59.00
50,3400,11394819237,5片,落地扇,40,安装方便 颜色漂亮 使用方便 风力很大 风扇不错 造型美观 质量不错 广角送风 噪音很小 底座很稳 使用方便 质量不错 风很柔和 安全节能 安装方便 风很柔和 风力很大 睡眠风不错 颜色漂亮 底座很稳 颜色漂亮 使用方便 噪音很小 睡眠风不错 底座很稳,97,3300,599.00,富士宝专营店,扬子（YANGZI)FS-40-808 电风扇落地扇五叶家用电扇 （五叶）机械款,98.00
5,400,11778321390,5片,落地扇,10,颜色漂亮 质量不错 造型美观 遥控方便 风很柔和 底座很稳 安全节能 远程遥控 风扇不错 使用方便 噪音很小 安装方便 风扇不错 安装方便 风扇不错,97,400,318.00,格力清力专卖店,格力（GREE）KYS-3001B-WG遥控电风扇家用静音五叶落地扇学生宿舍转叶扇,238.00
0,30,4533792,7片及以上,落地扇,2,风扇不错 睡眠风不错 使用方便 噪音很小 质量不错 颜色漂亮 造型美观 适合宝宝 风很柔和 电机好 睡眠风不错 使用方便 噪音很小 质量不错 质量不错 安全节能 风扇不错,94,30,2099.00,艾美特生活电器旗舰店,艾美特(Airmate) FS40101R 七叶遥控直流变频落地扇/电风扇,1199.00
4,100,5008878,无叶,塔扇,6,底座很稳 造型美观 扇网坚固 质量不错 遥控方便 风很柔和 使用方便 噪音很小 安装方便 安全节能 使用方便 风扇不错 质量不错 扇网坚固 底座很稳 颜色漂亮 安全节能 质量不错 造型美观 底座很稳,93,100,699.00,北欧欧慕厨电旗舰店,北欧欧慕（nathome）遥控塔扇静音电风扇 NFS04R 银灰色,399.00
2,100,3871795,7片及以上,落地扇,2,风很柔和 底座很稳 遥控方便 噪音很小 造型美观 质量不错 安全节能 使用方便 远程遥控 风扇不错 风力很大 适合宝宝 遥控方便 安全节能 风很柔和 底座很稳 睡眠风不错 适合宝宝 噪音很小 扇网坚固 质量不错 使用方便 底座很稳 风很柔和 电机好,96,90,819.00,美的两季品旗舰店,美的（Midea）FS40-17CR 九叶变频遥控落地扇/电风扇,799.00
7,400,1397829,5片,落地扇,10,声音小 噪音很小 风很柔和 安装方便 质量不错 电机好 颜色漂亮 使用方便 安全节能 适合宝宝 噪音很小 安全节能 电机好,94,300,499.00,先锋两季品旗舰店,先锋（Singfun）DD3302 五叶直流变频落地扇/电风扇 ,329.00
5,300,1646264862,3片,台扇，空气循环扇,10,造型美观 质量不错 底座很稳 风很柔和 风扇不错 广角送风 安全节能 噪音很小 使用方便 颜色漂亮 风扇不错 安全节能 声音小 质量不错 风很柔和 噪音很小 底座很稳 广角送风 睡眠风不错 质量不错 噪音很小,96,300,988.00,爱丽思幸辉国际专卖店,日本IRIS/爱丽思空气循环扇电风扇家用台式对流扇静音摇头台扇PCF-M18C,268.00
200,13000,608026,3片,壁扇，空气循环扇,600,还可以吧 安装方便 风扇不错 质量不错 风力很大 使用方便 噪音很小 造型美观 风很柔和 广角送风 遥控方便 电机好 风力很大,94,12000,178.00,华生旗舰店,华生（Wahson）FB40-1205 电风扇/机械壁扇/风扇,89.00
30,1000,2539182,无叶,塔扇,30,造型美观 风扇不错 噪音很小 质量不错 遥控方便 使用方便 风很柔和 安装方便 远程遥控 广角送风 遥控方便 适合宝宝,93,900,499.00,澳柯玛两季品旗舰店,澳柯玛（AUCMA）FS-08M605(Y) 90度旋转遥控定时塔扇/电风扇,359.00
40,1500,10361617230,5片,台扇,30,风扇不错 质量不错 安装方便 使用方便 颜色漂亮 风力很大 造型美观 风很柔和 底座很稳 噪音很小 颜色漂亮 质量不错,94,1400,119.00,永生旗舰店,永生（eosin）FT-35 台扇 电风扇/桌面电风扇/办公室电扇,99.00
40,300,12314250095,4片,落地扇,20,安装方便 风力很大 使用方便 风扇不错 电机好 造型美观 安全节能 遥控方便 适合宝宝 底座很稳,82,300,299.00,卓润专营店,碧利沙电风扇落地扇家用静音机械台式风扇宿舍学生工业电扇大风力 机械升级款,79.00
9,900,4579850,6片,转页扇，台扇,30,风扇不错 质量不错 颜色漂亮 风力很大 风很柔和 使用方便 适合宝宝 睡眠风不错 扇网坚固 广角送风 风扇不错 风力很大 颜色漂亮,95,900,99.00,长城官方旗舰店,长城（CHANGCHENG）KYT-25（16）台式转页扇/电风扇/鸿运扇/台式学生宿舍家用风扇,59.00
400,28000,11712189720,5片,吊扇,700,安装方便 噪音很小 质量不错 风很柔和 使用方便 风扇不错 造型美观 风力很大 睡眠风不错 颜色漂亮,95,27000,71.00,中联生活电器旗舰店,ZOLEE中联FG10-42小吊扇 床上风扇 家用 床上蚊帐扇 静音宿舍电风扇 微风吊扇 单品,39.80
40,3000,1370376,3片,壁扇,100,安装方便 遥控方便 风力很大 使用方便 质量不错 风扇不错 噪音很小 远程遥控 风很柔和 广角送风,96,2900,299.00,华生旗舰店,华生（Wahson）FB40-1205Y 电风扇/遥控壁扇/风扇,99.00
100,5500,2790361,无叶,塔扇,200,使用方便 风很柔和 颜色漂亮 安装方便 噪音很小 风扇不错 质量不错 造型美观 风力很大 安全节能,94,5100,299.00,韩国现代（HYUNDAI)两季品旗舰店,HYUNDAI 现代电风扇/机械塔扇/落地扇TS01J,139.00
2,500,4575056,5片,壁扇,9,安装方便 风扇不错 风力很大 使用方便 风很柔和 质量不错 噪音很小 颜色漂亮 广角送风 电机好 风扇不错 广角送风 扇网坚固 风力很大 使用方便,98,500,189.00,华生旗舰店,华生（Wahson）FB30-B401 电风扇/机械壁扇/风扇,89.00
20,2700,1058058,4片,壁扇,50,风扇不错 风力很大 质量不错 安装方便 噪音很小 使用方便 造型美观 风很柔和 安全节能 电机好 噪音很小 质量不错 广角送风,97,2700,599.00,TCL电风扇旗舰店,TCL FW-40-CT1602 电风扇/四扇叶壁扇,129.00
0,50,12480321642,5片,落地扇，转页扇，台扇，空气循环扇,2,使用方便 风扇不错 造型美观 遥控方便 噪音很小 颜色漂亮 适合宝宝 安装方便 噪音很小 风扇不错 颜色漂亮 适合宝宝 造型美观 造型美观 遥控方便,96,40,1099.00,格力TOSOT旗舰店,格力（GREE）电风扇/雾化加湿风扇/遥控落地扇/家用喷雾扇 WKY-30X60Bh5 白浅蓝,899.00
9,400,1350514,3片,工业扇，壁扇,6,风力很大 质量不错 风扇不错 安装方便 使用方便 噪音很小 电机好 底座很稳 扇网坚固 广角送风 质量不错 使用方便 安全节能 安装方便,97,400,499.00,华生旗舰店,华生（Wahson）FL75-B 电风扇/工业扇/工业壁扇/风扇,259.00
20,1300,4761364,6片,转页扇，台扇,20,风扇不错 使用方便 风很柔和 颜色漂亮 质量不错 噪音很小 造型美观 风力很大 安全节能 适合宝宝,96,1200,99.00,卡帝亚两季品旗舰店,卡帝亚（ Kadeer） KYT-25A1台式转页扇/电风扇,55.00
